,name,formatted_address,rating,types,lat,lng,id,place_id
0,Pace Gallery,"32 E 57th St, New York, NY 10022, USA",4.8,"art_gallery, point_of_interest, establishment",40.761862,-73.972082,a79a4a8c0af1fdc350f8a79eb4955d65576ac0f3,ChIJFxXcxfpYwokR4SxqEQVpaLk
1,Luhring Augustine Gallery,"531 W 24th St, New York, NY 10011, USA",4.7,"art_gallery, point_of_interest, establishment",40.7492057,-74.0049504,27cb29e2c5bf3849cbfd0e1cdcdeeefcfbe6986b,ChIJwZCT7bdZwokRNx1YURTRbmM
2,The Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, USA",4.8,"art_gallery, museum, point_of_interest, establishment",40.7794366,-73.963244,f732f202150af1f14ae8a057a1014ceea6b33fc4,ChIJb8Jg9pZYwokR-qHGtvSkLzs
3,Yancey Richardson,"525 W 22nd St, New York, NY 10011, USA",4.5,"art_gallery, point_of_interest, establishment",40.74761489999999,-74.0057547,73ea6246f9076b48c53ed7b69000806e769dac9b,ChIJe7AGCbhZwokRAFtmSbxzArY
4,Jeffrey Deitch,"18 Wooster St, New York, NY 10013, USA",5.0,"art_gallery, point_of_interest, establishment",40.721435,-74.003056,cbefae89e281127361feb41c454b78b564f7c306,ChIJdWA_r4tZwokRPgHkRNHAKog
5,Gavin Brown's enterprise,"291 Grand St, New York, NY 10002, USA",3.5,"art_gallery, point_of_interest, establishment",40.7174334,-73.992173,f3dd21a471de3196c01a6de89100f83fcee5ecb5,ChIJmZBlFO1ZwokRhPKLlzK7pzc
6,American Folk Art Museum,"2 Lincoln Square, New York, NY 10023, USA",4.2,"museum, point_of_interest, establishment",40.773207,-73.98138999999999,a9ffefef860f76e7fe7abc01b3ca90a35e06afba,ChIJEeD6FPVYwokRgs0ZbWMrrzk
7,Team Gallery,"83 Grand St, New York, NY 10013, USA",4.2,"art_gallery, point_of_interest, establishment",40.7216802,-74.0025587,18df8cdf1e4fc7ae191a547ff3a5104c53c353e0,ChIJK4dVuYtZwokRcYLi85TNuaM
8,Michael Werner Gallery,"4 E 77th St # 2, New York, NY 10075, USA",5.0,"art_gallery, point_of_interest, establishment",40.775242,-73.964254,cd2ae0adb281438c0ca24769d1f6f7d8d42b379a,ChIJX4_LaJRYwokRFRY0gPRav3I
9,Sean Kelly,"475 10th Ave, New York, NY 10018, USA",4.7,"art_gallery, point_of_interest, establishment",40.7560796,-73.9982615,eba3c1484e314612781eae06254065e014385b6d,ChIJWTV4jrZZwokRFYejsehrXyY
