,name,formatted_address,rating,types,lat,lng,id,place_id
0,Resorts World Casino New York City,"110-00 Rockaway Blvd, Jamaica, NY 11420, USA",3.7,"casino, night_club, restaurant, point_of_interest, food, establishment",40.6728572,-73.832624,9cc2b1258bc46df79360d2fb9b4ada56feb19b93,ChIJIdDbQENnwokRbCypkvjzglk
1,Empire City Casino,"810 Yonkers Ave, Yonkers, NY 10704, USA",3.9,"casino, restaurant, point_of_interest, food, establishment",40.9193015,-73.8645107,e1e7f454ca178b366a75ae52d9011a575e247a91,ChIJh7tBHr7ywokR4hFTwLzlguk
2,紐約市雲頂世界賭場,"110-00 Rockaway Blvd, South Ozone Park, NY 11420, USA",3.4,"casino, point_of_interest, establishment",40.672473,-73.83285099999999,ed4b2f2a33f6d110aba102ea428770d3d6a7bfb0,ChIJtzOQqGdnwokRpO7AXGJCjnc
3,Ace & Jack Casino Theme Night Party Rentals NY NJ CT PA,"109 N Central Ave, Valley Stream, NY 11580, USA",4.9,"casino, point_of_interest, food, establishment",40.6705843,-73.708237,312736c2cb5593f36e5a1a50d151cf7e941cdf89,ChIJd_ukxHtkwokRRhu0GlALOgY
4,Big Deal Casino,"1 E 28th St, 6th floor, New York, NY 10016, United States",3.9,"point_of_interest, establishment",40.7446424,-73.9868048,c80f206dd472c36122647050c271a6b8b70fa798,ChIJ36JPOKZZwokRtqFVlZpq8k4
5,Online Casino New York,"1346 39th St, Brooklyn, NY 11218, USA",5.0,"casino, point_of_interest, establishment",40.639705,-73.985322,737fb7bcb22f0217ed1254df5acc9e838f6b7a5d,ChIJwVXsWDxbwokR5Ygbs0GgVNI
6,NYRA Bets,"110-00 Rockaway Blvd, South Richmond Hill, NY 11419, USA",4.2,"casino, point_of_interest, establishment",40.6715214,-73.83334119999999,ec00487020a945d829ca23d1c4274d3f2ca98e85,ChIJAa8A9U9nwokRm219Af30J4A
7,CAZZNY Events,"130 Jericho Turnpike, Floral Park, NY 11001, USA",5.0,"casino, point_of_interest, establishment",40.727825,-73.706374,e6c997f5b207eb9d8bd83930400dfcc3feb88aa6,ChIJe7tPPCMx6IkRWXNsVSqhJXg
8,New Yorc City Guggenheim Museum,"N Atlantic Ave, Ocean City, MD 21842, USA",5.0,"casino, point_of_interest, establishment",40.5602071,-73.99309199999999,bbbf119c9415fb5dd8f5eec7d149b847d5e387df,ChIJkZ00vNdFwokR3rqZdENC9Z0
9,Ace Deuce Casinos,"102 Woodcleft Ave #2, Freeport, NY 11520, USA",3.0,"casino, point_of_interest, food, establishment",40.6371607,-73.5827822,479626da760993df94ee8e61dd6ad35c9499e968,ChIJWyAGC8B7wokRVnxMJBl9-qI
10,Carib-Inn Tennis Club & Casino,"2830 Pitkin Ave, Brooklyn, NY 11208, USA",1.0,"lodging, point_of_interest, establishment",40.675759,-73.86769199999999,cb8570631fbff96017a35f935abfe242dd65797e,ChIJ0U2AQ75dwokRDYkz9MyoArc
11,Equestris,"110-00 Rockaway Blvd, Ozone Park, NY 11416, USA",0.0,"restaurant, point_of_interest, food, establishment",40.6728147,-73.83243279999999,577e234f431868cba2acdfe11340b139703e515f,ChIJy3d0-yNnwokRqjtXbx3Jtvs
12,Cozy 1br mins from CASINO JFK & NYC,"137-15 171st St, Jamaica, NY 11434, USA",1.0,"lodging, point_of_interest, establishment",40.672299,-73.769059,7256e438d9623a1f5217a3e0decca4c45b5db684,ChIJPXAb-rhmwokRA8gRTeZqgWU
13,1800 Casinos LLC,"8 Carriage Way, White Plains, NY 10605, USA",0.0,"casino, point_of_interest, establishment",40.996666,-73.736071,2405cc1ce7ff71a8bc5d7c9b80b84a745617aade,ChIJBUJLolKRwokRCIrIkXtAmAU
14,Palm Casino's USA,"366 N Broadway, Jericho, NY 11753, USA",2.3,"casino, point_of_interest, establishment",40.7818145,-73.5329445,45aea2b99e9127e9f64142e18e390f9720a0119d,ChIJed2A-haBwokRV7ehRoS-3SQ
