,name,formatted_address,rating,types,lat,lng,id,place_id
0,The Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, USA",4.8,"art_gallery, museum, point_of_interest, establishment",40.7794366,-73.963244,f732f202150af1f14ae8a057a1014ceea6b33fc4,ChIJb8Jg9pZYwokR-qHGtvSkLzs
1,Museum of the City of New York,"1220 5th Ave & 103rd Street, New York, NY 10029, USA",4.4,"museum, point_of_interest, establishment",40.792494,-73.951909,d94854c5dd4ca2bcb7ce25e3084ce1dba11d56d1,ChIJi4hYtB32wokR1Npx_Tv7phk
2,The Museum of Modern Art,"11 W 53rd St, New York, NY 10019, USA",4.5,"museum, point_of_interest, establishment",40.7614327,-73.97762159999999,05fd8501e2532c0ea3033bd3f3a282ffff502863,ChIJKxDbe_lYwokRVf__s8CPn-o
3,New Museum,"235 Bowery, New York, NY 10002, USA",4.0,"museum, point_of_interest, establishment",40.7223376,-73.9928905,0c931c5c3800bc979d8a5c41a5ecc1f0e619ebf6,ChIJlaRS3IVZwokR2llMD6dCt-U
4,American Museum of Natural History,"Central Park West & 79th St, New York, NY 10024, USA",4.6,"museum, point_of_interest, establishment",40.7813241,-73.9739882,d9dd2c58ebb5c5cb4d00b28db933b7e220a34b5a,ChIJCXoPsPRYwokRsV1MYnKBfaI
5,New-York Historical Society,"170 Central Park West, New York, NY 10024, USA",4.4,"museum, library, point_of_interest, establishment",40.7792476,-73.9742792,58fec942ca75a6d83d1b6c6ff242c405c77741bf,ChIJIVEyfY5YwokRXqcWLrl5XVA
6,The Jewish Museum,"1109 5th Ave & E 92nd St, New York, NY 10128, USA",4.3,"museum, point_of_interest, establishment",40.785334,-73.957351,d0643d0043de24df986abe45f1058ec4f2cca5fb,ChIJxY5cO6JYwokRPeVk85UNj2g
7,Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128, USA",4.3,"museum, point_of_interest, establishment",40.7829796,-73.9589706,aa09742d854b00192daed833e2a56750587e8185,ChIJmZ5emqJYwokRuDz79o0coAQ
8,Whitney Museum of American Art,"99 Gansevoort St, New York, NY 10014, USA",4.5,"museum, point_of_interest, establishment",40.7395877,-74.0088629,6a6e35a1c9265a5f2b68cb954ba2c06c8dc19093,ChIJN3MJ6pRYwokRiXg91flSP8Y
9,Rubin Museum of Art,"150 W 17th St, New York, NY 10011, USA",4.6,"museum, point_of_interest, establishment",40.7400671,-73.9977244,3c44481e57f7b64872922bc9d9f0599188234aff,ChIJD4QSVbxZwokRaFPDajZtIaI
10,New York Transit Museum,"99 Schermerhorn St, Brooklyn, NY 11201, USA",4.6,"museum, store, point_of_interest, establishment",40.6904663,-73.9899714,1c9463006879557df9105b67616dfc41e51acb2f,ChIJdThqNVVawokRFk58UQOvtuM
11,Tenement Museum,"103 Orchard St, New York, NY 10002, USA",4.6,"museum, point_of_interest, establishment",40.7187958,-73.99006969999999,bf04c672d6730db2dc6a68816bbc53eb870c993a,ChIJ20bVJYdZwokRhI7esP3mYM0
12,The Frick Collection,"1 E 70th St, New York, NY 10021, USA",4.6,"museum, point_of_interest, establishment",40.771209,-73.9673991,87e936eb75a829e0363d510c2060a6621f83f9c7,ChIJHRH97uxYwokR6CBeDyn1jtg
13,Brooklyn Museum,"200 Eastern Pkwy, Brooklyn, NY 11238, USA",4.6,"museum, point_of_interest, establishment",40.6712062,-73.9636306,50536f2341830cb033e6342fb2e123d88fb5262b,ChIJyTmcRApbwokR-oXJRqpVI8Y
14,9/11 Memorial,"180 Greenwich St, New York, NY 10007, USA",4.8,"park, point_of_interest, establishment",40.7114743,-74.0134432,375f41aa9a1bff7c3766d2f5d80f21bd56487236,ChIJRcvoOxpawokR7R4dQMXMMPQ
15,Neue Galerie,"1048 5th Ave, New York, NY 10028, USA",4.5,"art_gallery, museum, point_of_interest, establishment",40.781264,-73.9603267,8b233f81d7007bf5f3ffe3d3c2b8397ebf24a4f3,ChIJ01_9-ZdYwokRL2JrA28GJp8
16,Cooper Hewitt Smithsonian Design Museum,"2 E 91st St, New York, NY 10128, USA",4.5,"museum, point_of_interest, establishment",40.7843958,-73.9578732,892116964e6b56ed90b0021e93e89b8a5a0bd294,ChIJsT8qSaJYwokR-m20OGJUKCA
17,The Morgan Library & Museum,"225 Madison Ave, New York, NY 10016, USA",4.7,"museum, point_of_interest, establishment",40.7492258,-73.9813971,1b5b32c5d96bd02e586f1d2dfcef7ca9aa848373,ChIJ3453OAdZwokRja92OOKCugM
