,name,formatted_address,rating,types,lat,lng,id,place_id
0,Central Park,"New York, NY, USA",4.8,"park, point_of_interest, establishment",40.7828647,-73.9653551,c9bcef33f0cc85eda31f1c7444e9b1a3b82c9a9f,ChIJ4zGFAZpYwokRGUGph3Mf37k
1,Riverside Park,"New York, NY, USA",4.6,"park, point_of_interest, establishment",40.8012339,-73.9723096,20a7fef51e1c17598e54bbc01afcdac90246caec,ChIJL1DP2C72wokRh3Lfn4T0Z3w
2,Washington Square Park,"New York, NY 10012, USA",4.6,"park, point_of_interest, establishment",40.7308228,-73.997332,b0df149329a0f6a4006cc5328e3d42acadaf1b4f,ChIJjX494pBZwokRGH620d9eYfo
3,Inwood Hill Park,"Payson Ave. &, Seaman Ave, New York, NY 10034, United States",4.6,"park, point_of_interest, establishment",40.8722007,-73.9255549,eeec542848892712b9623fe25be5598b50ff73ca,ChIJpUOPMe7zwokRJUQfPbEU1CI
4,Paley Park,"3 E 53rd St, New York, NY 10022, USA",4.4,"park, point_of_interest, establishment",40.7602157,-73.9751349,419df35f8d8721a1551348a9b917a90abf67deea,ChIJcUYGvftYwokRXvGL1B_cN2o
5,New York City Department of Parks and Recreation,"1234 5th Ave, New York, NY 10029, USA",4.7,"park, point_of_interest, establishment",40.7930688,-73.95150009999999,2b3ce59ed50aa3bd779a97745fe6a353c337dff6,ChIJixKvYBz2wokRTl_OIWH09SM
6,Bryant Park,"New York, NY 10018, USA",4.7,"park, point_of_interest, establishment",40.7535965,-73.9832326,f450a4290a3af961748f0eb93931479d2898e990,ChIJvbGg56pZwokRp_E3JbivnLQ
7,St. Nicholas Park,"St Nicholas Ave &, St Nicholas Terrace, New York, NY 10030, United States",4.2,"park, point_of_interest, establishment",40.8174689,-73.94874759999999,41a3ce5dbf2b934e1d7e9d9d4458e419adffba59,ChIJ0zHAy2_2wokROHSUG_3UnEw
8,Fort Greene Park,"Washington Park St, Brooklyn, NY 11205, USA",4.5,"park, point_of_interest, establishment",40.691396,-73.974944,d5f29c70ef69a83f8317ade5179a095f99d51367,ChIJvf6v7bZbwokRUO0-u24i73g
9,Morningside Park,"Morningside Dr, New York, NY 10026, USA",4.4,"park, point_of_interest, establishment",40.8060712,-73.9585391,a03301735a74559b4f20596225e6d4154a8e0209,ChIJPTmIHRX2wokR9QxLoOD3rRc
10,Richard Tucker Park,"Columbus Ave &, W 66th St, New York, NY 10023, United States",4.1,"park, point_of_interest, establishment",40.7735874,-73.9820171,fb97674bcfbba716dafc2525c234a5390448d059,ChIJwxkbavVYwokRxNHJxnWpGkk
11,John Jay Park,"FDR Dr., New York, NY 10021, USA",4.5,"park, point_of_interest, establishment",40.7693053,-73.9493916,e2cf2f3aada004522f008ebdf078192f93f4d0e8,ChIJEQ6kk8dYwokRVW7W8Xj-lqw
12,Greenacre Park,"217 E 51st St, New York, NY 10022, USA",4.8,"park, point_of_interest, establishment",40.7562441,-73.9692882,b2446e6c54413a661d9599177c41fa85e34264b4,ChIJGaiaEONYwokR68EFhU8zSNc
13,Pier 51 at Hudson River Park,"Hudson River Greenway, New York, NY 10014, USA",4.6,"park, point_of_interest, establishment",40.7382067,-74.01070469999999,2b627fef9d8b18e1fb811c02fdcb117cbf3e4261,ChIJNUwaa-pZwokRh_DHYDHBWkc
14,Willowbrook Park,"1 Eton Pl, Staten Island, NY 10314, USA",4.4,"park, point_of_interest, establishment",40.6005621,-74.15811289999999,2222492d8bdd319f80360a8c36a6ebef867eb82f,ChIJjd5CmEJMwokR3q_qsj1h3Dk
15,Roberto Clemente State Park,"301 W Tremont Ave, Bronx, NY 10453, USA",4.3,"park, point_of_interest, establishment",40.8539353,-73.92113850000001,d7c9aa602085ee456a70083faf069ea750d8d264,ChIJp4cnbw70wokRu6e-fPdL-Vo
16,Little Bay Park,"Cross Island Pkwy, Whitestone, NY 11357, USA",4.5,"park, point_of_interest, establishment",40.7897211,-73.7889647,5ba6d8e4b3c1f24f2ab60466be01f3b1bb2b942d,ChIJO1DvZlyKwokRCDbATn5FzJA
17,Concert Grove,"95 Prospect Park West, Brooklyn, NY 11215, USA",4.2,"park, point_of_interest, establishment",40.6589927,-73.9644531,201344bfdf4034ebe7cf6b0e7f74ae4cf04e65f5,ChIJWd6m8RNbwokRI-rn2FyfgBM
18,Stuyvesant Square Park,"9, Rutherford Pl, New York, NY 10003, USA",4.4,"park, point_of_interest, establishment",40.73394649999999,-73.9841048,49d06af6f7159ad1bbdeeae87ae1716f8d5f23b6,ChIJH8eOxZ9ZwokR1GxjNrdIyLQ
19,Asser Levy Park,"302 Sea Breeze Ave, Brooklyn, NY 11224, USA",4.0,"park, point_of_interest, establishment",40.5751863,-73.9713897,00515f4e9b0bddc8d486da497a845babc6216306,ChIJJ6b4_0dEwokR3RI76Ea93dw
20,Albert Capsouto Park,"Varick Street &, Laight St, New York, NY 10013, United States",4.7,"park, point_of_interest, establishment",40.72201099999999,-74.00610089999999,1fe192401810dab368c985b0d11ce71984075d3a,ChIJcwaRMItZwokRcUerenHZUpo
21,Fort Tryon Park,"Riverside, Dr To Broadway, New York, NY 10040, USA",4.7,"park, point_of_interest, establishment",40.8625608,-73.9312995,3be27507240fd2843d3a9fbb6dde4b0f70b2b64d,ChIJTZ18cAH0wokR1HfVR86mzEA
22,Duane Park,"3836, 157 Duane St, New York, NY 10013, United States",4.0,"park, point_of_interest, establishment",40.7171756,-74.0093751,41704fcbf3deffe622421b122b212ba25c87a4b7,ChIJyyVUUx5awokR8hYrIfrOwhU
23,Pumphouse Park,"New York, NY 10080, USA",4.4,"park, point_of_interest, establishment",40.7120887,-74.0162412,ceb9622fdad895257707abdd4ac8a3c1030caa4b,ChIJQ7Dz7xpawokRZdJQSi7_yK0
24,Theodore Roosevelt Park,"200 Central Park West, New York, NY 10024, USA",4.6,"park, point_of_interest, establishment",40.78185089999999,-73.97476019999999,f7975c0f3f80afbec1b75d9bea63f34729b6cb48,ChIJv8mWqY9YwokRIzh7-8yBA14
25,Marcus Garvey Park,"6316, Mt Morris Park W, New York, NY 10027, United States",4.1,"park, point_of_interest, establishment",40.8044257,-73.9437629,14a6e204f19e3b6235c88535f89afb25a0a16d2c,ChIJHa6lPAz2wokRlRyxNExaJbQ
26,Washington Market Park,"199 Chambers St, New York, NY 10007, USA",4.4,"park, point_of_interest, establishment",40.7169743,-74.011467,a56a41de976c37aaa5c9400c8807df9c34266653,ChIJ4zHNix5awokR7eEBmC26WSQ
27,Jackson Square Park,"8 Ave &, Greenwich Ave, New York, NY 10014, United States",4.3,"park, point_of_interest, establishment",40.7389305,-74.0028253,67ba19a29936299f9233a551c5400c9f81724061,ChIJYfqGML5ZwokRYK2jK8PObFc
28,Highbridge Park,"2301 Amsterdam Ave, New York, NY 10033, USA",4.3,"park, point_of_interest, establishment",40.8446296,-73.9329638,1b32f3ca390c069d2accb8fd003e8ec8d252fbdd,ChIJI45ivSf0wokRMw68yH4_DEo
29,Abingdon Square,"Hudson St, New York, NY 10014, USA",4.3,"park, point_of_interest, establishment",40.7372939,-74.0054224,710e905e27c63dd077f04a8f835c23ded9b778ae,ChIJSztkP5VZwokRXVSH9NrC_Xs
30,Thomas Paine Park,"Lafayette St &, Worth St, New York, NY 10007, United States",4.2,"park, point_of_interest, establishment",40.71503209999999,-74.00266169999999,af5b47f00c8f388e19cb44815652c7fce982216d,ChIJja2OEiFawokRqvKkBrwmrFo
31,Alley Pond Park,"Union Tpke, Oakland Gardens, NY 11364, USA",4.5,"park, point_of_interest, establishment",40.74239470000001,-73.73843409999999,c3725e46d2c2ea92faa36a42437782f479fa7ff3,ChIJzyx69P9hwokRMP73UTW2hTA
32,Marine Park,"Fillmore Ave, Brooklyn, NY 11229, USA",4.5,"park, point_of_interest, establishment",40.6055157,-73.9348698,c1e694cfa5d60e8c94279d4b2604294e51be9108,ChIJd5pPt3pDwokRdQveRDE63-g
33,Zuccotti Park,"New York, NY 10006, USA",4.3,"park, point_of_interest, establishment",40.7092649,-74.011262,4ac3a2a7faa4692e0894c4b2ca401538451aadd4,ChIJd_J7XBdawokRpAdtBwzIx0s
34,Parks Dog Run,"FDR Dr., New York, NY 10005, USA",4.4,"park, point_of_interest, establishment",40.7044275,-74.0056172,3781ce80b592908f77d321392c5099e48cc6cf17,ChIJbz0E5T1awokRxx7gCMznjoM
35,Forest Park,"Myrtle Ave, Woodhaven, NY 11421, USA",4.5,"park, point_of_interest, establishment",40.7040764,-73.84591019999999,e8c3f8fa0b194b3f3db20c96eb676977a6c5df2b,ChIJl7IPOQ9ewokRTrH0Stn1Rhg
36,Columbus Park,"Mulberry Street &, Baxter St, New York, NY 10013, United States",4.1,"park, point_of_interest, establishment",40.7156618,-73.9999961,e447eef7610ff9b20f12fc5c4d9f5b888ee84552,ChIJZQD10CZawokRCuvDW1oLE-Y
37,The High Line,"New York, NY 10011, USA",4.7,"park, point_of_interest, establishment",40.7479925,-74.0047649,72dc79d023feec77725d7336e7c46fee27805319,ChIJ5bQPhMdZwokRkTwKhVxhP1g
38,Juniper Valley Park,"80th St., Juniper Blvd. N, Juniper Blvd. S, Middle Village, NY 11379, United States",4.7,"park, point_of_interest, establishment",40.720497,-73.8796412,61c567aae7556de1c9bfd0e7abaffdbd2e52ed03,ChIJwaaRmmdewokRTRadCEvkHnA
39,Sara D. Roosevelt Park,"Chrystie St &, Forsyth St, New York, NY 10002, United States",3.9,"park, point_of_interest, establishment",40.7217408,-73.9915425,c91788ad6990d3c221ff6168995901e4cc70cc5b,ChIJX0-MTYZZwokR0L585ip8P18
40,Sakura Park,"3916, 500 Riverside Dr, New York, NY 10027, United States",4.5,"park, point_of_interest, establishment",40.8127856,-73.9622491,911f08e428cceacc478c2aa03da7b4b9cb940d78,ChIJ6ZV3WUD2wokRd56jEa1BSjg
41,Pelham Bay Park,"Watt Avenue &, Middletown Rd, Bronx, NY 10465, United States",4.4,"park, lodging, point_of_interest, establishment",40.8654997,-73.8091736,ae675aac3963f6221a0b6aff482edaa0bef1e4a6,ChIJ0yDZfqCMwokR4_gc794XRHA
