,name,formatted_address,rating,types,lat,lng,id,place_id
0,The Shops at Columbus Circle,"10 Columbus Cir, New York, NY 10019, USA",4.3,"shopping_mall, point_of_interest, establishment",40.7686013,-73.98321159999999,63543c9ef29f2a3e695988e01f33632131fcab88,ChIJp3PsL_ZYwokRdBcE-3KTjrg
1,Shopping Girlfriend NYC,"315 W 39th St, New York, NY 10018, USA",5.0,"clothing_store, store, point_of_interest, establishment",40.7559712,-73.99204519999999,f5f347f8a0a8ef4102ade971db12aa7761e76ec8,ChIJUdrSNb5ZwokRsoOdOHCNBQk
2,Manhattan Mall,"100 West 33rd Street, New York, NY 10001, USA",3.9,"shopping_mall, point_of_interest, establishment",40.7492663,-73.9893112,c9135f5a551204ca6a67d4aed2d39586a1763c32,ChIJ6-70LKlZwokRzdXlGpoA_so
3,Westfield World Trade Center,"185 Greenwich St, New York, NY 10007, USA",4.6,"shopping_mall, shoe_store, department_store, clothing_store, store, restaurant, point_of_interest, food, establishment",40.7114771,-74.011478,5fd9855f3162a0eddc350ba4d81e12b1ba725725,ChIJ4fd_MRpawokRHr3yLkECrOE
4,Staten Island Mall,"2655 Richmond Ave, Staten Island, NY 10314, USA",4.2,"shopping_mall, point_of_interest, establishment",40.5816575,-74.16608,06d74dad88397aefb8cd5d75ddd9c6c161152a60,ChIJMQW5NIdLwokR8jmOUJsxtso
5,South Street Seaport,"89 South St, New York, NY 10038, USA",4.3,"shopping_mall, point_of_interest, establishment",40.7056185,-74.0027446,fd423448c5594d09b3e4282d6c02ef80eb243d44,ChIJ48y8-TxawokROJTPwB3cxz8
6,Queens Center,"90-15 Queens Blvd, Elmhurst, NY 11373, USA",4.4,"shopping_mall, clothing_store, store, restaurant, point_of_interest, food, establishment",40.734682,-73.8699788,fa4ed3537b03de812d6993a06d7802bcba1659ea,ChIJA7Ciw0tewokRWJrqRqhFJBs
7,The Mills at Jersey Gardens,"651 Kapkowski Rd, Elizabeth, NJ 07201, USA",4.4,"shopping_mall, point_of_interest, establishment",40.659951,-74.1710706,c7e42a7b648220b40a72556cf8c79d83cecb0835,ChIJixQeNIBNwokRItXUV8ujLjQ
8,"Michael's, The Consignment Shop for Women","1125 Madison Ave, New York, NY 10028, USA",4.8,"clothing_store, store, point_of_interest, establishment",40.779633,-73.95926399999999,c383297ccdd1501f6c69685378165e16d1a0379c,ChIJCz0I15VYwokRWwJb-C1gnhA
9,Artists & Fleas SoHo,"568 Broadway, New York, NY 10012, USA",4.2,"shopping_mall, point_of_interest, establishment",40.724298,-73.997384,7f4b55a6eb3e0f60eae3581cfdcd08906b87e00b,ChIJh5ifHI9ZwokR_UFmNmGu77k
10,Gabriella New York Bridal Salon,"155 Wooster St #3W, New York, NY 10012, USA",3.5,"clothing_store, store, point_of_interest, establishment",40.7263585,-73.999425,d8d76402f7eaeeb36b37adca671211b5d42af5b2,ChIJUa2ua45ZwokRuSqn852lHLw
11,Creatures of Comfort,"205 Mulberry St, New York, NY 10012, USA",3.7,"clothing_store, store, point_of_interest, establishment",40.721625,-73.99653099999999,61b230f677f6bf6db769b986af1562fc75db68a5,ChIJlysAx4hZwokRQ9n294wZZRw
12,Diplomatic Duty Free Shops of New York,"866 2nd Ave 2nd floor, New York, NY 10017, USA",4.5,"jewelry_store, clothing_store, store, point_of_interest, food, establishment",40.752506,-73.969917,b3c7b4915357628dbb439e19b4244d45a4418485,ChIJIfKmQx1ZwokRAiuTngo5f_A
13,Town Shop Lingerie- Bra Fittings,"2270 Broadway, New York, NY 10024, USA",4.7,"clothing_store, store, point_of_interest, establishment",40.785495,-73.97852,c7107d782b540f4dad274352594c17059d9b3298,ChIJ84o3QYZYwokRU4WDDB3U3xs
14,Jean Shop,"37 Crosby St, New York, NY 10013, USA",4.6,"clothing_store, store, point_of_interest, establishment",40.72094850000001,-73.9992418,711ce8949fb459a814e2518f469a18bb4155d775,ChIJEceghMBZwokR-SL1kz_fs_c
15,Lovely Bride New York,"182 Duane St, New York, NY 10013, USA",4.3,"clothing_store, store, point_of_interest, establishment",40.717149,-74.010093,55d2109c95ca770fed0243ec287a26de74e63134,ChIJ55edVx5awokRQSZUxYUFZd8
16,Macy's eSpot Kiosk,"13650 Roosevelt Ave, Flushing, NY 11354, USA",3.3,"shopping_mall, electronics_store, store, point_of_interest, establishment",40.7597704,-73.82858759999999,4e5484364bf0e74425d497f798ba2b04aa5d2a01,ChIJlQngsxFgwokR04_HhWdf0Hc
17,New York Vintage Inc,"117 W 25th St, New York, NY 10001, USA",4.4,"clothing_store, store, point_of_interest, establishment",40.744631,-73.99261899999999,477434aefd07925fddd50341484b4373980120a4,ChIJaQPEGqVZwokRIKb19abLH7A
18,The Shop at NBC Studios,"30 Rockefeller Plaza, New York, NY 10112, USA",4.2,"store, point_of_interest, establishment",40.75932,-73.980058,9c151ae558f436e7effae0407f1d9380fa4da5c5,ChIJNZvR1v5YwokRadepdoJ17Vg
19,Genes Café Madison Avenue,"660 Madison Ave Fl 8, New York, NY 10065, USA",3.8,"cafe, store, point_of_interest, food, establishment",40.7646914,-73.9711429,c7d6eaaee683e79e49df30c6ef1355d64a01e5e7,ChIJrekR3-9YwokRzwy1f2cu1So
20,Cobblestones,"314 E 9th St, New York, NY 10003, USA",4.0,"clothing_store, store, point_of_interest, establishment",40.7288016,-73.98654429999999,ba5119fb4e222306bc3ee60eb174ccfb421f8474,ChIJiynfUJxZwokRMxyZrmpvJ1I
21,Housing Works Thrift Shops,"130 Crosby St, New York, NY 10012, USA",4.1,"clothing_store, home_goods_store, store, point_of_interest, establishment",40.7247093,-73.9963908,8fa43757bd0d1a41af2487d9afac7f24d2551992,ChIJ0WA5C49ZwokRlwCBkmzkUdo
22,SHOP UNTITLED,"27 W 8th St, New York, NY 10011, USA",4.8,"clothing_store, store, point_of_interest, establishment",40.7329667,-73.99776969999999,7952596ec47106dfdd95d0831d005cc9e14de962,ChIJc1jRK5dZwokRankYrf0jb88
23,Style Room NYC Shopping Tours,"225 W 34th St, New York, NY 10122, USA",5.0,"travel_agency, point_of_interest, establishment",40.7518134,-73.9916803,8a9c5caa413ae37fb43afd444cc02aba31608136,ChIJSfvCLKxZwokRJMq5NzUVYoc
24,Housing Works Thrift Shops,"245 W 10th St, New York, NY 10014, USA",4.6,"furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",40.7339353,-74.0058945,a63cdf847d242e6efc51757f3b92d4877771b93c,ChIJo_reqJRZwokRAHCtJNsmaXM
25,The Hat Shop,"120 Thompson St, New York, NY 10012, USA",4.7,"clothing_store, store, point_of_interest, establishment",40.7259702,-74.00157639999999,4cd1c65a60e8fc674a67f8f80066b94eef8df2a8,ChIJGfIczI1ZwokRTQYwO6wDF04
26,Housing Works Thrift Shops,"2569 Broadway, New York, NY 10025, USA",4.2,"art_gallery, furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",40.7951431,-73.97176879999999,ec6065da5aac00afef522bb43a83a90bb3425c0f,ChIJEbZQeSj2wokR2SRfjJHS408
27,ZTrend New York Shopping Tours,"1186 Broadway, New York, NY 10001, USA",5.0,"point_of_interest, establishment",40.7456539,-73.9884615,1bb16d7d8786de8789e8bf966effea544a7d914c,ChIJsWyiBKZZwokRk2cvdrMELXY
28,The New York Public Library Shop,"475 5th Ave, New York, NY 10018, USA",4.6,"library, book_store, store, point_of_interest, establishment",40.75246,-73.9811434,b999fde40afde8120fd743c6079d606cd83a1552,ChIJJcFX6alZwokRPElLWaXkTeA
29,Limelight Shops,"47 W 20th St, New York, NY 10011, USA",3.8,"shopping_mall, point_of_interest, establishment",40.7410753,-73.9937405,0810f49018fb50e720e1eab4ba852ccb858f7d34,ChIJhbETRaNZwokRYxrLpnVTijg
30,Raaka Chocolate,"64 Seabring St, Brooklyn, NY 11231, USA",4.8,"store, point_of_interest, food, establishment",40.68143670000001,-74.0071505,2fc610a0d35dbaf40de1f68c0180d473d8e00554,ChIJFyq4ScFbwokRwMJWGE6ad1o
31,The Plaza Boutique,"The Plaza Hotel, 1 W 58th St, New York, NY 10019, United States",4.7,"clothing_store, store, point_of_interest, establishment",40.7641638,-73.97445689999999,cd774ae32e5a3034cb19c0b4a1909620335742a7,ChIJXeTBhfBYwokRz6A4gM1j3_k
32,Designer Loft,"226 W 37th St, Second Floor, New York, NY 10018, United States",4.1,"clothing_store, store, point_of_interest, establishment",40.75331,-73.99059199999999,0390c9a196075d2ae794cee5956bc53909cb289d,ChIJr_LzXKxZwokRp5lz8T6it58
33,Fragrance Shop New York,"65 E 4th St, New York, NY 10003, USA",4.6,"clothing_store, store, point_of_interest, establishment",40.726808,-73.99067289999999,d81cf9bf2a82703a03f64e402626eab9334ba8bf,ChIJC-foeZtZwokRQrBWLT3le88
34,Housing Works Thrift Shops,"119 Chambers St, New York, NY 10007, USA",3.8,"furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment",40.7154113,-74.00842899999999,4f1fca60f2a5e92eb840185df06855d60e368dae,ChIJG2DVFx9awokRaIrPM2exvaU
35,T-Pop Shop NYC,"59 Franklin St, New York, NY 10013, USA",0.0,"clothing_store, store, point_of_interest, establishment",40.717346,-74.003337,a5ab818d94f692e566a7767adc5f3a77d1c69655,ChIJ1UgPiyBawokRFG48GADz120
36,NYC Velo,"66 2nd Ave, New York, NY 10003, USA",4.6,"bicycle_store, store, point_of_interest, establishment",40.7258825,-73.9893093,e09c8f98a54c376dd2abadbca725eec65e55eb89,ChIJ0Tw5r4RZwokRiO2CpQQA1m0
37,NYC Velo Hell's Kitchen,"590 W 45th St, New York, NY 10036, USA",4.5,"bicycle_store, store, point_of_interest, establishment",40.7625199,-73.9966348,3afc05e65e44dff6e5e7d5a46ff8e1528316e0f6,ChIJHaHScU5YwokRLT4Io-to9Pc
38,Time Square,"345 W 35th St, New York, NY 10001, USA",4.7,"shopping_mall, point_of_interest, establishment",40.7536704,-73.9946686,c3d4ad87e8a0a1a863c99c3cf2f921518c2bd198,ChIJu2zgh61ZwokRu-BPG0fOCh8
39,Dover Street Market New York,"160 Lexington Ave, New York, NY 10016, USA",4.4,"clothing_store, store, point_of_interest, establishment",40.7440962,-73.9817188,2130ab0bfad8b1bfc2c7d792a5f8a7349517b3e7,ChIJTS9-FAhZwokRcbse7lr_jHA
40,Brookfield Place,"230 Vesey St, New York, NY 10281, USA",4.5,"shopping_mall, point_of_interest, establishment",40.7127168,-74.01528239999999,30005ece85c57803e290712f5f70ffc105849cb9,ChIJy8jTDBtawokRB9wNyxemSw8
41,Necessary Clothing,"443 Broadway, New York, NY 10013, USA",2.3,"clothing_store, store, point_of_interest, establishment",40.720157,-74.0010544,43d3f3f2a6184493a12a73967f2a5db672e153b8,ChIJt41PJopZwokRacUl10saeGA
42,NYC Smoke Shop & Vape Shop,"12 John St, New York, NY 10038, USA",4.2,"store, point_of_interest, establishment",40.7098644,-74.0090517,84963c252168d334e7d6a50d922c60c23b0582c6,ChIJ5f4tLBhawokRut96Q4N690k
