,name,formatted_address,rating,types,lat,lng,id,place_id
0,The High Line,"New York, NY 10011, USA",4.7,"park, point_of_interest, establishment",40.7479925,-74.0047649,72dc79d023feec77725d7336e7c46fee27805319,ChIJ5bQPhMdZwokRkTwKhVxhP1g
1,Top of the Rock,"30 Rockefeller Plaza, New York, NY 10112, USA",4.7,"point_of_interest, establishment",40.7591164,-73.9795433,e05462d15e6f301386934e30734e0c6d39636b95,ChIJe7vKMf9YwokRIMYfDz7iF9o
2,Things To Do In New York,"200 Park Ave 19th Floor, New York, NY 10166, United States",3.5,"point_of_interest, establishment",40.7534339,-73.9766921,76dea99e2d7f869a92cbb79e3647c7af0318cb15,ChIJBw12GwJZwokRCoPEwRCi3G0
3,Statue of Liberty National Monument,"New York, NY 10004, USA",4.6,"park, point_of_interest, establishment",40.6892494,-74.04450039999999,5a0d7e67078e35af0c456a277df9ffba7c1e4da6,ChIJPTacEpBQwokRKwIlDXelxkA
4,One World Observatory,"285 Fulton St, New York, NY 10006, USA",4.6,"restaurant, point_of_interest, food, establishment",40.7133444,-74.0133677,48cd459142d91a750ab1ac00141e799d2a7c1bfb,ChIJTWE_0BtawokRVJNGH5RS448
5,9/11 Memorial,"180 Greenwich St, New York, NY 10007, USA",4.8,"park, point_of_interest, establishment",40.7114743,-74.0134432,375f41aa9a1bff7c3766d2f5d80f21bd56487236,ChIJRcvoOxpawokR7R4dQMXMMPQ
6,The Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, USA",4.8,"art_gallery, museum, point_of_interest, establishment",40.7794366,-73.963244,f732f202150af1f14ae8a057a1014ceea6b33fc4,ChIJb8Jg9pZYwokR-qHGtvSkLzs
7,Brooklyn Botanic Garden,"990 Washington Ave, Brooklyn, NY 11225, USA",4.6,"park, point_of_interest, establishment",40.6694113,-73.96237359999999,01c3d364db2c0228e835480edc1204691a3b20a4,ChIJwYu_aA5bwokR2lxjW-QvQlc
8,New York Explorer Pass®,"151 W 34th St, New York, NY 10001, USA",4.6,"travel_agency, point_of_interest, establishment",40.7508054,-73.9894432,563011c420c40f6d47939cbaf10f2670ef2e29c4,ChIJs6UWAT1awokRQopDDN7vSwo
9,Gulliver's Gate,"216 W 44th St, New York, NY 10036, USA",4.6,"museum, point_of_interest, establishment",40.757584,-73.986995,22c5ab41a505113233d98ef454e1a9a91100f713,ChIJB3jt8VRYwokR3usmhiCep0o
10,Prospect Park,"Brooklyn, NY 11225, USA",4.7,"park, point_of_interest, establishment",40.6602037,-73.9689558,4a94c7dcb6fa8e242c2e232acadaf1f05a0d4536,ChIJQwRohxBbwokRmHrfAMb3ixc
11,Chrysler Building,"405 Lexington Ave, New York, NY 10174, USA",4.6,"premise, point_of_interest, establishment",40.7516208,-73.97550199999999,3457c605bb2ffc2b82b6b2fb097df9169c4e61b9,ChIJeWPFRwJZwokRGD60OOo74RU
12,The Frick Collection,"1 E 70th St, New York, NY 10021, USA",4.6,"museum, point_of_interest, establishment",40.771209,-73.9673991,87e936eb75a829e0363d510c2060a6621f83f9c7,ChIJHRH97uxYwokR6CBeDyn1jtg
13,Spirit of New York,"Chelsea Piers, Pier 61, New York, NY 10011, United States",4.4,"restaurant, point_of_interest, food, establishment",40.7479504,-74.01074349999999,2b586174dfaf0d14d821e0fc525ebacd619ba967,ChIJ9f8YY6RZwokRkxx9usQ_vno
14,Battery Park,"New York, NY 10004, USA",4.5,"park, point_of_interest, establishment",40.7032775,-74.0170279,58fc4a0c3ef0ffc426a52c0ea131e1bd7b8d7084,ChIJraKL-BJawokREpxDmF5GcL4
15,Bronx Zoo,"2300 Southern Blvd, Bronx, NY 10460, USA",4.5,"zoo, point_of_interest, establishment",40.8505949,-73.8769982,3ee4872ae045fe0d1b5d37525e0dd63ba4462540,ChIJi9JqUYP0wokRLhCVlxy0bgU
16,Ground Zero Museum Workshop,"420 W 14th St fl 2, New York, NY 10014, USA",4.5,"museum, point_of_interest, establishment",40.741231,-74.00670099999999,17253081513d270bd6adadb81be8931fe65ba9ef,ChIJVdeFgMBZwokR6O7aBJFn0g4
17,African Burial Ground National Historic Monument,"290 Broadway, New York, NY 10007, USA",4.6,"park, point_of_interest, establishment",40.7145049,-74.0043973,e2db8abe6e68bf497b20ce0df15c8e0a0709ad86,ChIJM3a4kCFawokRDRxdeYJQgnE
18,Governors Island National Monument,"10 South St, New York, NY 10004, USA",4.6,"point_of_interest, establishment",40.6919879,-74.01599499999999,e2568410beb651c76959c8c706e1d771fc316fa9,ChIJ2_ey6W9awokRxng4fzLDbPo
19,Federal Hall,"26 Wall St, New York, NY 10005, USA",4.4,"museum, point_of_interest, establishment",40.7073993,-74.0102088,b3fe6301d045106e1267fae5357e6f2aaab812f8,ChIJAaIFAxdawokR8txc3YPbD3A
20,The New York Pass®,"234 W 42nd St, New York, NY 10036, USA",4.2,"travel_agency, point_of_interest, establishment",40.756427,-73.988834,dfaabcd3d76c46067543ffefab4730c4884f4006,ChIJ5-oA5v9YwokRNaOTR_aua14
21,Bateaux New York,"Chelsea Piers, Pier 61, New York, NY 10011, United States",4.5,"restaurant, point_of_interest, food, establishment",40.7474567,-74.00943989999999,2b538434d1e49874ff6731a58c62894dfb11cf2d,ChIJeSRQJLtZwokRX_b4Us3l72c
22,Washington Square Park,"New York, NY 10012, USA",4.6,"park, point_of_interest, establishment",40.7308228,-73.997332,b0df149329a0f6a4006cc5328e3d42acadaf1b4f,ChIJjX494pBZwokRGH620d9eYfo
23,The Met Cloisters,"99 Margaret Corbin Dr, New York, NY 10040, USA",4.7,"museum, point_of_interest, establishment",40.8648628,-73.9317274,8edf774a665aeb294a6d6cf8df4405f4824f7e4f,ChIJK6bycAH0wokRrSnflfrnkZE
24,Brooklyn Bridge Park,"334 Furman St, Brooklyn, NY 11201, USA",4.7,"park, point_of_interest, establishment",40.6995399,-73.9973777,82a3fefae28d96a965db2a0ae55430d26e6a1a8e,ChIJjaFpo0ZawokRBcOFUZ13CaE
25,Take Me Out NYC,"33 E 17th St, New York, NY 10003, USA",4.5,"point_of_interest, establishment",40.7372373,-73.9893388,452fee64be7d9e42751265842ada12b534d33ebe,ChIJKRYZJ4hYwokRN3UH2hMcVQ4
26,New York City Fire Museum,"278 Spring St, New York, NY 10013, USA",4.4,"museum, store, point_of_interest, establishment",40.7255619,-74.006935,db0e9b3dd113a92a157474fe93d01d9c705ba2ee,ChIJsblxMfNZwokRBLOhQZRjwtE
27,Manhattan Skyline,"103 W 55th St, New York, NY 10019, USA",4.6,"real_estate_agency, point_of_interest, establishment",40.763342,-73.9783013,10ac18f3fee3112212794770d2fa45e4b1821a50,ChIJbRAuwPlYwokR829KR7QQLVI
28,Fort Tryon Park,"Riverside, Dr To Broadway, New York, NY 10040, USA",4.7,"park, point_of_interest, establishment",40.8625608,-73.9312995,3be27507240fd2843d3a9fbb6dde4b0f70b2b64d,ChIJTZ18cAH0wokR1HfVR86mzEA
29,Madison Square Park,"11 Madison Ave, New York, NY 10010, USA",4.6,"park, point_of_interest, establishment",40.7420371,-73.9875635,abd931421034043d086a5e1ad376a68b064a5f57,ChIJp32RvaZZwokRfH0Zgzl9mXk
30,Tenement Museum,"103 Orchard St, New York, NY 10002, USA",4.6,"museum, point_of_interest, establishment",40.7187958,-73.99006969999999,bf04c672d6730db2dc6a68816bbc53eb870c993a,ChIJ20bVJYdZwokRhI7esP3mYM0
31,Museum of the Moving Image,"36-01 35th Ave, Astoria, NY 11106, USA",4.6,"museum, point_of_interest, establishment",40.7563454,-73.9239496,a009daab612d086d65db9905e5d7fdc61dbb22da,ChIJAx_yUCVfwokRQ2xEBIWV21g
32,World Yacht,"Pier 81 W 41st St, New York, NY 10036, USA",4.5,"point_of_interest, establishment",40.7617513,-74.0024155,641790934d4f6f731fb42f5a2378e06d706f255d,ChIJczFOwKpZwokR_ZP4uFRPmSQ
33,New York Ghost Walk,"Washington Square North, 5th Ave, New York, NY 10003, United States",4.5,"point_of_interest, establishment",40.731242,-73.997147,082f44ae04b96c0aa34274005aa2511e772bc0cb,ChIJmxyg3ZBZwokR1nlwFk2013M
34,Green-Wood Cemetery,"500 25th St, Brooklyn, NY 11232, USA",4.6,"cemetery, point_of_interest, establishment",40.65807789999999,-73.9948493,3ae50abe82432383d7f6a850e7798c44d7c7e818,ChIJ5wpCzsJawokRZ_zEIYKrf60
35,Riverside Park,"New York, NY, USA",4.6,"park, point_of_interest, establishment",40.8012339,-73.9723096,20a7fef51e1c17598e54bbc01afcdac90246caec,ChIJL1DP2C72wokRh3Lfn4T0Z3w
36,Flushing Meadows Corona Park,"Queens, NY, USA",4.5,"park, point_of_interest, establishment",40.73971359999999,-73.840785,45542707aa19f452cae27cc2254f5362ec558ce9,ChIJ-2Yhwn9gwokR4Wwy6GgsPRM
37,Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128, USA",4.3,"museum, point_of_interest, establishment",40.7829796,-73.9589706,aa09742d854b00192daed833e2a56750587e8185,ChIJmZ5emqJYwokRuDz79o0coAQ
38,Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park, Roosevelt Island, NY 10044, USA",4.6,"park, point_of_interest, establishment",40.7508076,-73.9604123,7a967e503984bdfdbf3786a879794777ae4e29ea,ChIJRUgJkx9ZwokR6W8mnGZVcl0
39,Club Free Time,"20 Waterside Plaza, New York, NY 10010, USA",3.6,"point_of_interest, establishment",40.7373449,-73.9739237,97a5e8c704518489513723554585cfb1c0e8a3ab,ChIJ0fr6tg1ZwokRCo2-vKoTUT8
