,attraction__id,attraction__name,attraction__location__lat,attraction__location__lng,attraction__opening__hours,attraction__rating,results__type
0,UA2M9QFZghe-9th2KwLoWQ,Burger & Lobster,40.74007,-73.99344,1130.0,4.0,Seafood
1,L7_siqDfU4-ZA17YtA-SBg,Silver Factory,40.709227,-73.958598,1700.0,4.5,Korean
2,ysqgdbSrezXgVwER2kQWKA,Juliana's Pizza,40.702615303009296,-73.99341599935491,1130.0,4.5,Pizza
3,VrCCr45dhN-RRM107iptdg,Russ & Daughters,40.722609028877294,-73.9882828294139,800.0,4.5,Bagels
4,CwOAKJdX8AMz5iAoA-ZEuA,Uglyduckling,40.686023,-73.991302,1130.0,4.0,American (Traditional)
5,mXLrVoEi80WZaZ3agBP5Jw,Bijan's,40.68803,-73.98671,1130.0,4.0,American (New)
6,oOsJn3leUnWDfErRWMf81g,Soco,40.693866,-73.964535,1200.0,4.0,Cajun/Creole
7,u5iwtmfzGCqGYCYOTzQrQA,Midwinter Kitchen,40.73542,-73.98293000000001,1730.0,4.5,American (New)
8,3gqKLANaXNsHZnPDjKrcTg,Win Son,40.70747,-73.94339000000001,1730.0,4.5,Taiwanese
9,fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,40.7275,-73.9838,1800.0,4.5,Korean
10,tsiC3VpO-hZEb98Qk3p-DQ,Amy Ruth's,40.802466318157,-73.950421812439,1100.0,4.0,Southern
11,I2lgw_7DUnwD92ND4PN-Ow,Aunt Jake's,40.7190315,-73.99771609999999,1100.0,4.0,Italian
12,GxMhN2PEttvw7CRGIzB6Gg,Baron's,40.6908116,-73.95391500000001,1700.0,4.5,American (New)
13,Ei5qjq0qmfNLkdVoO-S5Tw,Raffetto's,40.728159999999995,-74.00171999999999,900.0,4.5,Specialty Food
14,rU9cKxAVU4Gd_JhAqp_bTA,Buttermilk Channel,40.675919,-73.999059,1130.0,4.0,American (New)
15,X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1 Fast Food,40.71735,-73.99457,900.0,4.5,Chinese
16,-134ZvJ4lgiqx-sjRBWQ9g,Totto Ramen,40.7643285462369,-73.9876558773155,1200.0,4.0,Ramen
17,hmdm-dO72hLsMQwQRcGEUQ,Atrium Dumbo,40.7033899,-73.9904923,1130.0,4.0,American (New)
18,vyoA8dxwScuMV_AsTcjQcg,L & B Spumoni Gardens,40.594659410461205,-73.9815150338912,1100.0,4.0,Pizza
19,bBDzXNM7Y7_8WE2Sm6R_ig,Gotham West Market,40.7624395,-73.9971462,800.0,4.0,Food Court
20,NiFmuqLM-apdMX_jBPVIgw,Rabbit House,40.71725,-73.99329,1730.0,4.5,Tapas Bars
21,tiSw-6DIm3-mMORyEIOVyg,The Boil,40.71974,-73.99339,1700.0,4.5,Cajun/Creole
22,zj8Lq1T8KIC5zwFief15jg,Prince Street Pizza,40.7229087705545,-73.99448633193971,1000.0,4.5,Pizza
23,Q9F2ocrmYuGt1yn3M7MOBw,Lucali,40.6818,-74.00024,1800.0,4.5,Pizza
24,FZYmp5c1VtWNfe635G_wsQ,Taste of Heaven,40.717115,-73.940613,1200.0,5.0,Soul Food
25,Rc1lxc5lSKJYd162JHNMfQ,Bea,40.7591968,-73.99233609999999,1700.0,4.0,American (New)
26,nU4XBdvxDABXqZ6CnB8Dig,Clinton Street Baking Company,40.721128,-73.983933,800.0,4.0,Bakeries
27,oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,40.742338700848606,-74.00625,1100.0,4.0,Taiwanese
28,43r4ynjeIZeQI1w7SWARuQ,Topaz Noodle Bar,40.764442443847706,-73.9789733886719,1130.0,4.0,Thai
29,H9GD7km7riFooM0FkdwOPg,Calle Ocho,40.7831208393736,-73.9737190394484,1530.0,4.0,Cuban
30,-0bpc5pvK6siYMIlCSmXWg,Emily,40.683519233484795,-73.9664132321178,1730.0,4.0,Pizza
31,KfaG5PoTEPpbODHBta9irw,Hakata Tonton,40.73333,-74.00331,1730.0,4.0,Japanese
32,1wcPwByfVs7bh7W1dWWIIQ,The Usual,40.72056,-73.99526999999999,1830.0,4.5,Comfort Food
33,qEe7nIhPfEL6L0-VYhWRrA,Raku,40.72728,-74.00251999999999,1200.0,4.5,Japanese
34,NXZFu7KHBrG02gzYneY5Xg,Ugly Kitchen,40.7266856651479,-73.98621789814759,1700.0,4.0,Bars
35,axqp3pGJXnTLgq2QrPyDyQ,Benemon,40.72551,-73.98838,1730.0,4.0,Japanese
36,MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,40.764291,-73.988159,1200.0,4.0,Thai
37,7Qvh0oFRsoqrO9qNlcMKXQ,Saigon Shack,40.729690000000005,-74.000629,1100.0,4.0,Sandwiches
38,KPGZ6zr6lUX9YROjGcUbtw,Peri Peri Grill House,40.684740000000005,-73.92916,1200.0,4.5,Fast Food
39,Lbs8QBRN1U7IYBo5Mcv-RQ,88 Lan Zhou Handmade Noodles,40.7155,-73.99675,1100.0,4.0,Chinese
40,xtxcAUvrD4dWHJd0cwvW1A,JeJu Noodle Bar,40.73304,-74.00734,1700.0,4.5,Korean
41,q2bIyvU8CQwiB6xe_iVs0g,Fan Fried Rice Bar,40.69099,-73.95586999999999,1300.0,5.0,Taiwanese
42,J9UA6rzI5WW_cDGjwDnF5g,Tsurutontan Udon Noodle Brasserie,40.736779999999996,-73.9910699,1200.0,4.0,Japanese
43,SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,40.7575067,-73.98777170000001,1100.0,4.5,Tacos
44,4KHjnRNvrkKHchEznhlnSA,Sweet Chick,40.718423,-73.95742790000001,1100.0,4.0,Southern
45,HFOiW4RvijuoblE4DD3JwA,Dekalb Market Hall,40.690584,-73.982326,700.0,4.0,Food Court
46,cGx9CYLxw6fqUQU-MFup8A,Milk & Cream Cereal Bar,40.71958,-73.99654,1200.0,4.5,Ice Cream & Frozen Yogurt
47,JV5oa5-KGdiWnqrKPoxSug,Absolute Bagels,40.80251,-73.96745,600.0,4.5,Bakeries
48,GA5msU6NO9rQRctPfDJCBg,Peaches HotHouse,40.6833699737169,-73.9437798410654,1100.0,4.0,Southern
49,nOjGNqPcu5jHRRElOndQqQ,Red Hook Lobster Pound,40.6797687107191,-74.0103686973453,1130.0,4.0,Seafood
50,9jRwUN3z7k0seLOzWERVeg,Ramen-Ya,40.732535999999996,-74.001681,1200.0,4.0,Ramen
51,rBUTVjRs5CcEMe3dfVRZJQ,Ho Foods,40.72634,-73.98478,1700.0,4.0,Taiwanese
52,OxqUWRZFUOz3r6_4bh4mfg,Cock & Bull,40.756090882367296,-73.9804858350908,1100.0,4.0,British
53,IGZkGbwE36iE1yaDW5NNKA,The Flying Cock,40.745296,-73.978073,1100.0,4.0,Pubs
54,P5gcdU1DX9M1V4W-V9o-wg,The Bear,40.7128339,-73.9663587,1600.0,5.0,Fast Food
55,UPWw9bfj0-7CJqxTIY8gxg,Burmese Bites,40.74655,-73.94282,1130.0,5.0,Burmese
56,Zzvqc7XcyGVX5bnjGN9IXA,Pig Beach,40.6795819645482,-73.9886936657017,1700.0,4.0,Barbeque
57,vW7sMAxt4YcUS8tWONaX2g,The Gumbo Bros,40.68925,-73.9918,1130.0,4.5,Cajun/Creole
58,WIhm0W9197f_rRtDziq5qQ,Lombardi's Pizza,40.72164,-73.9957,1130.0,4.0,Pizza
59,LpVbI-E9C-CSp7WhU5h2Iw,Fishmarket Restaurant,40.70717,-74.00192,1800.0,4.5,Seafood
60,uBGjcW-GuYy_qSvMykuISA,Pommes Frites,40.730022,-74.000152,1100.0,4.5,Belgian
