,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"32 E 57th St, New York, NY 10022, USA",(212) 421-3292,40.761862,-73.972082,Pace Gallery,ChIJFxXcxfpYwokR4SxqEQVpaLk,4.8
1,"531 W 24th St, New York, NY 10011, USA",(212) 206-9100,40.7492057,-74.0049504,Luhring Augustine Gallery,ChIJwZCT7bdZwokRNx1YURTRbmM,4.7
2,"1000 5th Ave, New York, NY 10028, USA",(212) 535-7710,40.7794366,-73.963244,The Metropolitan Museum of Art,ChIJb8Jg9pZYwokR-qHGtvSkLzs,4.8
3,"525 W 22nd St, New York, NY 10011, USA",(646) 230-9610,40.7476149,-74.0057547,Yancey Richardson,ChIJe7AGCbhZwokRAFtmSbxzArY,4.5
4,"18 Wooster St, New York, NY 10013, USA",(212) 343-7300,40.721435,-74.003056,Jeffrey Deitch,ChIJdWA_r4tZwokRPgHkRNHAKog,5.0
5,"291 Grand St, New York, NY 10002, USA",(212) 627-5258,40.7174334,-73.992173,Gavin Brown's enterprise,ChIJmZBlFO1ZwokRhPKLlzK7pzc,3.5
6,"2 Lincoln Square, New York, NY 10023, USA",(212) 595-9533,40.773207,-73.98138999999999,American Folk Art Museum,ChIJEeD6FPVYwokRgs0ZbWMrrzk,4.2
7,"83 Grand St, New York, NY 10013, USA",(212) 279-9219,40.7216802,-74.0025587,Team Gallery,ChIJK4dVuYtZwokRcYLi85TNuaM,4.2
8,"4 E 77th St # 2, New York, NY 10075, USA",(212) 988-1623,40.775242,-73.964254,Michael Werner Gallery,ChIJX4_LaJRYwokRFRY0gPRav3I,5.0
9,"475 10th Ave, New York, NY 10018, USA",(212) 239-1181,40.7560796,-73.9982615,Sean Kelly,ChIJWTV4jrZZwokRFYejsehrXyY,4.7
10,"152 E 65th St, New York, NY 10065, USA",(212) 452-1094,40.76540550000001,-73.9645412,Anita Shapolsky Gallery,ChIJXbDLOulYwokRSlIu2m790r8,4.0
11,"80 White St, New York, NY 10013, USA",(212) 226-3970,40.7178421,-74.0020559,Artists Space,ChIJ0ZCpuItZwokRZoTuCB9Vjtg,4.1
12,"210 11th Ave Suite 801, New York, NY 10001, USA",(212) 759-2345,40.7499366,-74.005949,Fischbach Gallery,ChIJsy_13LdZwokRIOr9lBXLY9Y,
13,"257 Bowery, New York, NY 10002, USA",(212) 999-7337,40.72314799999999,-73.992583,Sperone Westwater,ChIJoW8duIVZwokRDqKRPbNOM9E,4.6
14,"100 Crosby St #305, New York, NY 10012, USA",(212) 966-6223,40.7240493,-73.99776849999999,Staley-Wise Gallery,ChIJcXGe4Y5ZwokRCR-Yzx1m-SE,4.8
15,"521 W 21st St #1, New York, NY 10011, USA",(212) 414-4144,40.747122,-74.006193,Tanya Bonakdar Gallery,ChIJs5ukdLhZwokRR5fBgFl8K3E,4.4
16,"434 Greenwich St, New York, NY 10013, USA",(212) 343-2599,40.72271,-74.00979900000002,Art Projects International,ChIJTQikV_RZwokRv1Ufiev2Eoo,5.0
17,"132A Eldridge St, New York, NY 10002, USA",(212) 966-3411,40.7189134,-73.9914967,Woodward Gallery,ChIJQSfDAIdZwokRruYOCAMp68Q,4.8
18,"108 E 16th St #301, New York, NY 10003, USA",(212) 673-3096,40.735522,-73.988784,Talwar Gallery,ChIJxROQUp9ZwokRHREc95HPxiM,4.5
19,"519 W 24th St, New York, NY 10011, USA",(212) 206-7100,40.7489171,-74.0045717,Metro Pictures,ChIJ2cJojbdZwokRJF3KrrBFnF0,4.4
20,"121 W 27th St, New York, NY 10001, USA",(212) 645-7335,40.7461073,-73.99199569999999,Casey Kaplan Inc,ChIJt6X_dbhZwokRYfJrTeGlp6g,4.0
21,"416 E 59th St, New York, NY 10022, USA",(212) 753-4444,40.7592599,-73.96114720000001,Ubu Gallery,ChIJNwg-C-dYwokR7pFow7mu9cc,5.0
22,"44-19 Purves St, Long Island City, NY 11101, USA",(718) 361-1750,40.7469373,-73.940835,SculptureCenter,ChIJg8J0MipZwokRO03w0rQvXJc,4.6
23,"92 Plymouth St, Brooklyn, NY 11201, USA",(718) 834-8761,40.703791,-73.98974299999999,Smack Mellon,ChIJR2H3eTFawokRb0FeIuvN0jw,4.1
24,"38 St Marks Pl, New York, NY 10003, USA",(212) 925-2035,40.7284172,-73.9875484,Swiss Institute,ChIJK9SLWolZwokRfLobp8up_mg,4.4
25,"54 Franklin St, New York, NY 10013, USA",(212) 727-3323,40.71729699999999,-74.002709,Postmasters Gallery,ChIJO7j_kiBawokR_ZYBzw_UkyA,4.6
26,"291 Church St, New York, NY 10013, USA",(212) 431-5270,40.7190458,-74.0044688,Apexart,ChIJi1gQm4pZwokRZbGY348g_r8,5.0
27,"1865 Broadway, New York, NY 10023, USA",(212) 408-1500,40.7702728,-73.982804,Museum of Biblical Art,ChIJn-Ah-fVYwokRQSdL1eSJzdU,3.3
