,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"1000 5th Ave, New York, NY 10028, USA",(212) 535-7710,40.7794366,-73.963244,The Metropolitan Museum of Art,ChIJb8Jg9pZYwokR-qHGtvSkLzs,4.8
1,"1220 5th Ave & 103rd Street, New York, NY 10029, USA",(212) 534-1672,40.792494,-73.951909,Museum of the City of New York,ChIJi4hYtB32wokR1Npx_Tv7phk,4.4
2,"11 W 53rd St, New York, NY 10019, USA",(212) 708-9400,40.7614327,-73.97762159999999,The Museum of Modern Art,ChIJKxDbe_lYwokRVf__s8CPn-o,4.5
3,"235 Bowery, New York, NY 10002, USA",(212) 219-1222,40.7223376,-73.9928905,New Museum,ChIJlaRS3IVZwokR2llMD6dCt-U,4.0
4,"Central Park West & 79th St, New York, NY 10024, USA",(212) 769-5100,40.78132409999999,-73.9739882,American Museum of Natural History,ChIJCXoPsPRYwokRsV1MYnKBfaI,4.6
5,"170 Central Park West, New York, NY 10024, USA",(212) 873-3400,40.7792476,-73.9742792,New-York Historical Society,ChIJIVEyfY5YwokRXqcWLrl5XVA,4.4
6,"1109 5th Ave & E 92nd St, New York, NY 10128, USA",(212) 423-3200,40.785334,-73.957351,The Jewish Museum,ChIJxY5cO6JYwokRPeVk85UNj2g,4.3
7,"1071 5th Ave, New York, NY 10128, USA",(212) 423-3500,40.7829796,-73.9589706,Solomon R. Guggenheim Museum,ChIJmZ5emqJYwokRuDz79o0coAQ,4.3
8,"99 Gansevoort St, New York, NY 10014, USA",(212) 570-3600,40.73958770000001,-74.0088629,Whitney Museum of American Art,ChIJN3MJ6pRYwokRiXg91flSP8Y,4.5
9,"150 W 17th St, New York, NY 10011, USA",(212) 620-5000,40.7400671,-73.9977244,Rubin Museum of Art,ChIJD4QSVbxZwokRaFPDajZtIaI,4.6
10,"99 Schermerhorn St, Brooklyn, NY 11201, USA",(718) 694-1600,40.69046629999999,-73.9899714,New York Transit Museum,ChIJdThqNVVawokRFk58UQOvtuM,4.6
11,"103 Orchard St, New York, NY 10002, USA",(212) 982-8420,40.7187958,-73.99006969999999,Tenement Museum,ChIJ20bVJYdZwokRhI7esP3mYM0,4.6
12,"1 E 70th St, New York, NY 10021, USA",(212) 288-0700,40.771209,-73.9673991,The Frick Collection,ChIJHRH97uxYwokR6CBeDyn1jtg,4.6
13,"200 Eastern Pkwy, Brooklyn, NY 11238, USA",(718) 638-5000,40.6712062,-73.9636306,Brooklyn Museum,ChIJyTmcRApbwokR-oXJRqpVI8Y,4.6
14,"180 Greenwich St, New York, NY 10007, USA",(212) 312-8800,40.7114743,-74.0134432,9/11 Memorial,ChIJRcvoOxpawokR7R4dQMXMMPQ,4.8
15,"1048 5th Ave, New York, NY 10028, USA",(212) 628-6200,40.781264,-73.9603267,Neue Galerie,ChIJ01_9-ZdYwokRL2JrA28GJp8,4.4
16,"2 E 91st St, New York, NY 10128, USA",(212) 849-8400,40.7843958,-73.9578732,Cooper Hewitt Smithsonian Design Museum,ChIJsT8qSaJYwokR-m20OGJUKCA,4.5
17,"225 Madison Ave, New York, NY 10016, USA",(212) 685-0008,40.7492258,-73.9813971,The Morgan Library & Museum,ChIJ3453OAdZwokRja92OOKCugM,4.7
18,"36 Battery Pl, New York, NY 10280, USA",(646) 437-4202,40.7059752,-74.0185789,Museum of Jewish Heritage,ChIJYTeZ_BFawokRe_SRVX_pKIs,4.5
19,"2 Columbus Cir, New York, NY 10019, USA",(212) 299-7777,40.767395,-73.982034,Museum of Arts and Design,ChIJgVtmM_ZYwokRcJJnebe5KX8,4.1
20,"278 Spring St, New York, NY 10013, USA",(212) 691-1303,40.7255619,-74.006935,New York City Fire Museum,ChIJsblxMfNZwokRBLOhQZRjwtE,4.4
21,"99 Margaret Corbin Dr, New York, NY 10040, USA",(212) 923-3700,40.86486279999999,-73.9317274,The Met Cloisters,ChIJK6bycAH0wokRrSnflfrnkZE,4.7
22,"22-25 Jackson Ave, Long Island City, NY 11101, USA",(718) 784-2084,40.7454901,-73.9473572,MoMA PS1,ChIJwfbFiiNZwokRN8hnF940DbY,4.4
23,"Pier 86, W 46th St, New York, NY 10036, USA",(212) 245-0072,40.764526599999996,-73.99960759999999,"Intrepid Sea, Air & Space Museum",ChIJnxlg1U5YwokR8T90UrZiIwI,4.6
24,"29 E 4th St, New York, NY 10003, USA",(212) 777-1089,40.72766499999999,-73.99234,Merchant's House Museum,ChIJCWqa2ppZwokRj3c3kcIR9x4,4.6
25,"215 Centre St, New York, NY 10013, USA",(212) 619-4785,40.7194599,-73.9991797,Museum of Chinese in America,ChIJrd5vvolZwokRLR4z0Ui4KFs,4.4
26,"144 W 125th St, New York, NY 10027, USA",(212) 864-4500,40.8083402,-73.9476858,The Studio Museum in Harlem,ChIJ_ShwXw32wokRQJpaKAIcCOo,4.4
