,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"New York, NY, USA",(212) 310-6600,40.7828647,-73.9653551,Central Park,ChIJ4zGFAZpYwokRGUGph3Mf37k,4.8
1,"New York, NY, USA",(212) 870-3070,40.80123390000001,-73.9723096,Riverside Park,ChIJL1DP2C72wokRh3Lfn4T0Z3w,4.6
2,"New York, NY 10012, USA",(212) 639-9675,40.73082279999999,-73.997332,Washington Square Park,ChIJjX494pBZwokRGH620d9eYfo,4.6
3,"Payson Ave. &, Seaman Ave, New York, NY 10034, USA",(212) 639-9675,40.8722007,-73.9255549,Inwood Hill Park,ChIJpUOPMe7zwokRJUQfPbEU1CI,4.6
4,"3 E 53rd St, New York, NY 10022, USA",(212) 639-9675,40.7602157,-73.9751349,Paley Park,ChIJcUYGvftYwokRXvGL1B_cN2o,4.4
5,"1234 5th Ave, New York, NY 10029, USA",,40.79306880000001,-73.95150009999999,New York City Department of Parks and Recreation,ChIJixKvYBz2wokRTl_OIWH09SM,4.7
6,"New York, NY 10018, USA",(212) 768-4242,40.7535965,-73.9832326,Bryant Park,ChIJvbGg56pZwokRp_E3JbivnLQ,4.7
7,"St Nicholas Ave &, St Nicholas Terrace, New York, NY 10030, USA",(212) 639-9675,40.8174689,-73.94874759999999,St. Nicholas Park,ChIJ0zHAy2_2wokROHSUG_3UnEw,4.2
8,"Washington Park St, Brooklyn, NY 11205, USA",(212) 639-9675,40.691396,-73.974944,Fort Greene Park,ChIJvf6v7bZbwokRUO0-u24i73g,4.5
9,"Morningside Dr, New York, NY 10026, USA",(212) 639-9675,40.80607120000001,-73.9585391,Morningside Park,ChIJPTmIHRX2wokR9QxLoOD3rRc,4.4
10,"Columbus Ave &, W 66th St, New York, NY 10023, USA",(212) 639-9675,40.7735874,-73.9820171,Richard Tucker Park,ChIJwxkbavVYwokRxNHJxnWpGkk,4.1
11,"FDR Dr., New York, NY 10021, USA",(212) 794-6566,40.76930529999999,-73.9493916,John Jay Park,ChIJEQ6kk8dYwokRVW7W8Xj-lqw,4.5
12,"217 E 51st St, New York, NY 10022, USA",(212) 649-5895,40.7562441,-73.9692882,Greenacre Park,ChIJGaiaEONYwokR68EFhU8zSNc,4.8
13,"Hudson River Greenway, New York, NY 10014, USA",(212) 627-2020,40.7382067,-74.01070469999999,Pier 51 at Hudson River Park,ChIJNUwaa-pZwokRh_DHYDHBWkc,4.6
14,"1 Eton Pl, Staten Island, NY 10314, USA",(212) 639-9675,40.6005621,-74.15811289999999,Willowbrook Park,ChIJjd5CmEJMwokR3q_qsj1h3Dk,4.4
15,"301 W Tremont Ave, Bronx, NY 10453, USA",(718) 299-8750,40.85393529999999,-73.92113850000001,Roberto Clemente State Park,ChIJp4cnbw70wokRu6e-fPdL-Vo,4.3
16,"Cross Island Pkwy, Whitestone, NY 11357, USA",(212) 639-9675,40.78972109999999,-73.7889647,Little Bay Park,ChIJO1DvZlyKwokRCDbATn5FzJA,4.5
17,"95 Prospect Park West, Brooklyn, NY 11215, USA",(718) 965-8951,40.6589927,-73.9644531,Concert Grove,ChIJWd6m8RNbwokRI-rn2FyfgBM,4.2
18,"9, Rutherford Pl, New York, NY 10003, USA",(212) 639-9675,40.73394649999999,-73.9841048,Stuyvesant Square Park,ChIJH8eOxZ9ZwokR1GxjNrdIyLQ,4.4
19,"302 Sea Breeze Ave, Brooklyn, NY 11224, USA",(212) 639-9675,40.5751863,-73.9713897,Asser Levy Park,ChIJJ6b4_0dEwokR3RI76Ea93dw,4.0
20,"Varick Street &, Laight St, New York, NY 10013, USA",(212) 639-9675,40.72201099999999,-74.00610089999999,Albert Capsouto Park,ChIJcwaRMItZwokRcUerenHZUpo,4.6
21,"Riverside, Dr To Broadway, New York, NY 10040, USA",(212) 795-1388,40.8625608,-73.9312995,Fort Tryon Park,ChIJTZ18cAH0wokR1HfVR86mzEA,4.7
22,"3836, 157 Duane St, New York, NY 10013, USA",(212) 639-9675,40.7171756,-74.0093751,Duane Park,ChIJyyVUUx5awokR8hYrIfrOwhU,4.0
23,"New York, NY 10080, USA",(212) 830-7700,40.71208869999999,-74.0162412,Pumphouse Park,ChIJQ7Dz7xpawokRZdJQSi7_yK0,4.4
24,"200 Central Park West, New York, NY 10024, USA",(212) 639-9675,40.78185089999999,-73.97476019999999,Theodore Roosevelt Park,ChIJv8mWqY9YwokRIzh7-8yBA14,4.5
25,"6316, Mt Morris Park W, New York, NY 10027, USA",(212) 639-9675,40.8044257,-73.9437629,Marcus Garvey Park,ChIJHa6lPAz2wokRlRyxNExaJbQ,4.1
26,"199 Chambers St, New York, NY 10007, USA",(212) 639-9675,40.7169743,-74.011467,Washington Market Park,ChIJ4zHNix5awokR7eEBmC26WSQ,4.4
27,"8 Ave &, Greenwich Ave, New York, NY 10014, USA",(212) 639-9675,40.7389305,-74.0028253,Jackson Square Park,ChIJYfqGML5ZwokRYK2jK8PObFc,4.3
28,"2301 Amsterdam Ave, New York, NY 10033, USA",(212) 639-9675,40.8446296,-73.9329638,Highbridge Park,ChIJI45ivSf0wokRMw68yH4_DEo,4.3
29,"Hudson St, New York, NY 10014, USA",(212) 639-9675,40.7372939,-74.0054224,Abingdon Square,ChIJSztkP5VZwokRXVSH9NrC_Xs,4.3
30,"Lafayette St &, Worth St, New York, NY 10007, USA",,40.71503209999999,-74.00266169999999,Thomas Paine Park,ChIJja2OEiFawokRqvKkBrwmrFo,4.2
31,"Union Tpke, Oakland Gardens, NY 11364, USA",(212) 639-9675,40.7423947,-73.73843409999999,Alley Pond Park,ChIJzyx69P9hwokRMP73UTW2hTA,4.5
32,"Fillmore Ave, Brooklyn, NY 11229, USA",(212) 639-9675,40.60551570000001,-73.9348698,Marine Park,ChIJd5pPt3pDwokRdQveRDE63-g,4.5
33,"New York, NY 10006, USA",,40.70926489999999,-74.011262,Zuccotti Park,ChIJd_J7XBdawokRpAdtBwzIx0s,4.3
34,"FDR Dr., New York, NY 10005, USA",,40.7044275,-74.0056172,Parks Dog Run,ChIJbz0E5T1awokRxx7gCMznjoM,4.4
35,"Myrtle Ave, Woodhaven, NY 11421, USA",(718) 235-0815,40.70407640000001,-73.84591019999999,Forest Park,ChIJl7IPOQ9ewokRTrH0Stn1Rhg,4.5
36,"Mulberry Street &, Baxter St, New York, NY 10013, USA",,40.71566180000001,-73.9999961,Columbus Park,ChIJZQD10CZawokRCuvDW1oLE-Y,4.1
37,"New York, NY 10011, USA",(212) 500-6035,40.7479925,-74.0047649,The High Line,ChIJ5bQPhMdZwokRkTwKhVxhP1g,4.7
