,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"10 Columbus Cir, New York, NY 10019, USA",(212) 823-6300,40.7686013,-73.98321159999999,The Shops at Columbus Circle,ChIJp3PsL_ZYwokRdBcE-3KTjrg,4.3
1,"315 W 39th St, New York, NY 10018, USA",(917) 825-2564,40.7559712,-73.99204519999999,Shopping Girlfriend NYC,ChIJUdrSNb5ZwokRsoOdOHCNBQk,5.0
2,"100 West 33rd Street, New York, NY 10001, USA",(212) 465-0500,40.74926629999999,-73.9893112,Manhattan Mall,ChIJ6-70LKlZwokRzdXlGpoA_so,3.9
3,"185 Greenwich St, New York, NY 10007, USA",(212) 284-9982,40.7114771,-74.011478,Westfield World Trade Center,ChIJ4fd_MRpawokRHr3yLkECrOE,4.6
4,"2655 Richmond Ave, Staten Island, NY 10314, USA",(718) 761-6800,40.5816575,-74.16608,Staten Island Mall,ChIJMQW5NIdLwokR8jmOUJsxtso,4.2
5,"89 South St, New York, NY 10038, USA",(212) 732-8257,40.7056185,-74.0027446,South Street Seaport,ChIJ48y8-TxawokROJTPwB3cxz8,4.3
6,"90-15 Queens Blvd, Elmhurst, NY 11373, USA",(718) 592-3900,40.73468199999999,-73.8699788,Queens Center,ChIJA7Ciw0tewokRWJrqRqhFJBs,4.4
7,"651 Kapkowski Rd, Elizabeth, NJ 07201, USA",(908) 436-3005,40.659951,-74.1710706,The Mills at Jersey Gardens,ChIJixQeNIBNwokRItXUV8ujLjQ,4.4
8,"1125 Madison Ave, New York, NY 10028, USA",(212) 737-7273,40.779633,-73.95926399999999,"Michael's, The Consignment Shop for Women",ChIJCz0I15VYwokRWwJb-C1gnhA,4.8
9,"568 Broadway, New York, NY 10012, USA",(917) 767-6965,40.724298,-73.997384,Artists & Fleas SoHo,ChIJh5ifHI9ZwokR_UFmNmGu77k,4.2
10,"155 Wooster St #3W, New York, NY 10012, USA",(212) 206-1915,40.7263585,-73.999425,Gabriella New York Bridal Salon,ChIJUa2ua45ZwokRuSqn852lHLw,3.5
11,"205 Mulberry St, New York, NY 10012, USA",(212) 925-1005,40.721625,-73.99653099999999,Creatures of Comfort,ChIJlysAx4hZwokRQ9n294wZZRw,3.7
12,"866 2nd Ave 2nd floor, New York, NY 10017, USA",(212) 838-9151,40.752506,-73.969917,Diplomatic Duty Free Shops of New York,ChIJIfKmQx1ZwokRAiuTngo5f_A,4.5
13,"2270 Broadway, New York, NY 10024, USA",(212) 595-6600,40.785495,-73.97852,Town Shop Lingerie- Bra Fittings,ChIJ84o3QYZYwokRU4WDDB3U3xs,4.7
14,"37 Crosby St, New York, NY 10013, USA",(212) 366-5326,40.72094850000001,-73.9992418,Jean Shop,ChIJEceghMBZwokR-SL1kz_fs_c,4.6
15,"182 Duane St, New York, NY 10013, USA",(212) 924-2050,40.717149,-74.010093,Lovely Bride New York,ChIJ55edVx5awokRQSZUxYUFZd8,4.3
16,"13650 Roosevelt Ave, Flushing, NY 11354, USA",(888) 314-4722,40.7597704,-73.82858759999999,Macy's eSpot Kiosk,ChIJlQngsxFgwokR04_HhWdf0Hc,3.3
17,"117 W 25th St, New York, NY 10001, USA",(212) 647-1107,40.744631,-73.99261899999999,New York Vintage Inc,ChIJaQPEGqVZwokRIKb19abLH7A,4.4
18,"30 Rockefeller Plaza, New York, NY 10112, USA",(212) 664-2754,40.75932,-73.980058,The Shop at NBC Studios,ChIJNZvR1v5YwokRadepdoJ17Vg,4.2
19,"660 Madison Ave Fl 8, New York, NY 10065, USA",(212) 833-2022,40.7646914,-73.9711429,Genes Café Madison Avenue,ChIJrekR3-9YwokRzwy1f2cu1So,3.8
20,"314 E 9th St, New York, NY 10003, USA",(212) 673-5372,40.72880159999999,-73.98654429999999,Cobblestones,ChIJiynfUJxZwokRMxyZrmpvJ1I,4.0
21,"130 Crosby St, New York, NY 10012, USA",(646) 786-1200,40.7247093,-73.9963908,Housing Works Thrift Shops,ChIJ0WA5C49ZwokRlwCBkmzkUdo,4.1
22,"27 W 8th St, New York, NY 10011, USA",(212) 228-5166,40.7329667,-73.99776969999999,SHOP UNTITLED,ChIJc1jRK5dZwokRankYrf0jb88,4.8
23,"225 W 34th St, New York, NY 10122, USA",(646) 245-5316,40.7518134,-73.9916803,Style Room NYC Shopping Tours,ChIJSfvCLKxZwokRJMq5NzUVYoc,5.0
24,"245 W 10th St, New York, NY 10014, USA",(212) 352-1618,40.7339353,-74.0058945,Housing Works Thrift Shops,ChIJo_reqJRZwokRAHCtJNsmaXM,4.6
25,"120 Thompson St, New York, NY 10012, USA",(212) 219-1445,40.7259702,-74.00157639999999,The Hat Shop,ChIJGfIczI1ZwokRTQYwO6wDF04,4.7
26,"2569 Broadway, New York, NY 10025, USA",(212) 222-3550,40.7951431,-73.97176879999999,Housing Works Thrift Shops,ChIJEbZQeSj2wokR2SRfjJHS408,4.2
27,"1186 Broadway, New York, NY 10001, USA",(424) 666-8849,40.74565390000001,-73.9884615,ZTrend New York Shopping Tours,ChIJsWyiBKZZwokRk2cvdrMELXY,5.0
28,"475 5th Ave, New York, NY 10018, USA",(212) 930-0869,40.75246000000001,-73.9811434,The New York Public Library Shop,ChIJJcFX6alZwokRPElLWaXkTeA,4.6
29,"47 W 20th St, New York, NY 10011, USA",(212) 255-2144,40.7410753,-73.9937405,Limelight Shops,ChIJhbETRaNZwokRYxrLpnVTijg,3.8
30,"64 Seabring St, Brooklyn, NY 11231, USA",(855) 255-3354,40.68143670000001,-74.0071505,Raaka Chocolate,ChIJFyq4ScFbwokRwMJWGE6ad1o,4.8
31,"The Plaza Hotel, 1 W 58th St, New York, NY 10019, USA",(212) 546-5454,40.7641638,-73.97445689999999,The Plaza Boutique,ChIJXeTBhfBYwokRz6A4gM1j3_k,4.7
32,"226 W 37th St, Second Floor, New York, NY 10018, USA",(212) 944-9013,40.75330999999999,-73.99059199999999,Designer Loft,ChIJr_LzXKxZwokRp5lz8T6it58,4.1
33,"65 E 4th St, New York, NY 10003, USA",(212) 254-8950,40.726808,-73.99067289999999,Fragrance Shop New York,ChIJC-foeZtZwokRQrBWLT3le88,4.6
34,"119 Chambers St, New York, NY 10007, USA",(212) 732-0584,40.7154113,-74.00842899999999,Housing Works Thrift Shops,ChIJG2DVFx9awokRaIrPM2exvaU,3.8
35,"59 Franklin St, New York, NY 10013, USA",(917) 582-0701,40.717346,-74.003337,T-Pop Shop NYC,ChIJ1UgPiyBawokRFG48GADz120,
36,"66 2nd Ave, New York, NY 10003, USA",(212) 253-7771,40.7258825,-73.9893093,NYC Velo,ChIJ0Tw5r4RZwokRiO2CpQQA1m0,4.6
37,"590 W 45th St, New York, NY 10036, USA",(212) 582-7949,40.7625199,-73.9966348,NYC Velo Hell's Kitchen,ChIJHaHScU5YwokRLT4Io-to9Pc,4.5
38,"345 W 35th St, New York, NY 10001, USA",,40.7536704,-73.9946686,Time Square,ChIJu2zgh61ZwokRu-BPG0fOCh8,4.7
39,"160 Lexington Ave, New York, NY 10016, USA",(646) 837-7750,40.7440962,-73.9817188,Dover Street Market New York,ChIJTS9-FAhZwokRcbse7lr_jHA,4.4
