,formatted_address,formatted_phone_number,lat,lng,name,place_id,rating
0,"New York, NY 10011, USA",(212) 500-6035,40.7479925,-74.0047649,The High Line,ChIJ5bQPhMdZwokRkTwKhVxhP1g,4.7
1,"30 Rockefeller Plaza, New York, NY 10112, USA",(212) 698-2000,40.759116399999996,-73.9795433,Top of the Rock,ChIJe7vKMf9YwokRIMYfDz7iF9o,4.7
2,"200 Park Ave 19th Floor, New York, NY 10166, USA",(646) 265-2452,40.7534339,-73.9766921,Things To Do In New York,ChIJBw12GwJZwokRCoPEwRCi3G0,3.5
3,"New York, NY 10004, USA",(212) 363-3200,40.6892494,-74.04450039999999,Statue of Liberty National Monument,ChIJPTacEpBQwokRKwIlDXelxkA,4.6
4,"285 Fulton St, New York, NY 10006, USA",(844) 696-1776,40.7133444,-74.0133677,One World Observatory,ChIJTWE_0BtawokRVJNGH5RS448,4.6
5,"180 Greenwich St, New York, NY 10007, USA",(212) 312-8800,40.7114743,-74.0134432,9/11 Memorial,ChIJRcvoOxpawokR7R4dQMXMMPQ,4.8
6,"1000 5th Ave, New York, NY 10028, USA",(212) 535-7710,40.7794366,-73.963244,The Metropolitan Museum of Art,ChIJb8Jg9pZYwokR-qHGtvSkLzs,4.8
7,"990 Washington Ave, Brooklyn, NY 11225, USA",(718) 623-7200,40.66941130000001,-73.96237359999999,Brooklyn Botanic Garden,ChIJwYu_aA5bwokR2lxjW-QvQlc,4.6
8,"151 W 34th St, New York, NY 10001, USA",(800) 887-9103,40.7508054,-73.9894432,New York Explorer Pass®,ChIJs6UWAT1awokRQopDDN7vSwo,4.6
9,"216 W 44th St, New York, NY 10036, USA",(212) 235-2016,40.757584,-73.986995,Gulliver's Gate,ChIJB3jt8VRYwokR3usmhiCep0o,4.6
10,"Brooklyn, NY 11225, USA",(718) 965-8951,40.6602037,-73.9689558,Prospect Park,ChIJQwRohxBbwokRmHrfAMb3ixc,4.7
11,"405 Lexington Ave, New York, NY 10174, USA",(212) 682-3070,40.7516208,-73.97550199999999,Chrysler Building,ChIJeWPFRwJZwokRGD60OOo74RU,4.6
12,"1 E 70th St, New York, NY 10021, USA",(212) 288-0700,40.771209,-73.9673991,The Frick Collection,ChIJHRH97uxYwokR6CBeDyn1jtg,4.6
13,"Chelsea Piers, Pier 61, New York, NY 10011, USA",(212) 727-2789,40.7479504,-74.01074349999999,Spirit of New York,ChIJ9f8YY6RZwokRkxx9usQ_vno,4.4
14,"New York, NY 10004, USA",,40.7032775,-74.0170279,Battery Park,ChIJraKL-BJawokREpxDmF5GcL4,4.5
15,"2300 Southern Blvd, Bronx, NY 10460, USA",(718) 367-1010,40.8505949,-73.8769982,Bronx Zoo,ChIJi9JqUYP0wokRLhCVlxy0bgU,4.5
16,"420 W 14th St fl 2, New York, NY 10014, USA",(212) 924-1040,40.741231,-74.00670099999999,Ground Zero Museum Workshop,ChIJVdeFgMBZwokR6O7aBJFn0g4,4.5
17,"290 Broadway, New York, NY 10007, USA",(212) 637-2019,40.7145049,-74.0043973,African Burial Ground National Historic Monument,ChIJM3a4kCFawokRDRxdeYJQgnE,4.6
18,"10 South St, New York, NY 10004, USA",(212) 825-3054,40.6919879,-74.01599499999999,Governors Island National Monument,ChIJ2_ey6W9awokRxng4fzLDbPo,4.6
19,"26 Wall St, New York, NY 10005, USA",(212) 825-6990,40.70739930000001,-74.0102088,Federal Hall,ChIJAaIFAxdawokR8txc3YPbD3A,4.4
20,"234 W 42nd St, New York, NY 10036, USA",(212) 977-7732,40.756427,-73.988834,The New York Pass®,ChIJ5-oA5v9YwokRNaOTR_aua14,4.2
21,"Chelsea Piers, Pier 61, New York, NY 10011, USA",(212) 352-1366,40.7474567,-74.00943989999999,Bateaux New York,ChIJeSRQJLtZwokRX_b4Us3l72c,4.5
22,"New York, NY 10012, USA",(212) 639-9675,40.73082279999999,-73.997332,Washington Square Park,ChIJjX494pBZwokRGH620d9eYfo,4.6
23,"99 Margaret Corbin Dr, New York, NY 10040, USA",(212) 923-3700,40.86486279999999,-73.9317274,The Met Cloisters,ChIJK6bycAH0wokRrSnflfrnkZE,4.7
24,"334 Furman St, Brooklyn, NY 11201, USA",(718) 222-9939,40.6995399,-73.9973777,Brooklyn Bridge Park,ChIJjaFpo0ZawokRBcOFUZ13CaE,4.7
25,"33 E 17th St, New York, NY 10003, USA",(917) 338-6720,40.7372373,-73.9893388,Take Me Out NYC,ChIJKRYZJ4hYwokRN3UH2hMcVQ4,4.5
26,"278 Spring St, New York, NY 10013, USA",(212) 691-1303,40.7255619,-74.006935,New York City Fire Museum,ChIJsblxMfNZwokRBLOhQZRjwtE,4.4
