"results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__permanently_closed","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__price_level","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__types__004","status"
"1000 5th Ave, New York, NY 10028, USA","40.7794366","-73.963244","northeast","40.78025357989272","-73.96137637010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","f732f202150af1f14ae8a057a1014ceea6b33fc4","The Metropolitan Museum of Art","","False","1361","<a href=""https://maps.google.com/maps/contrib/104310127545801734343/photos"">Soo Bin Yeo</a>","CmRaAAAA9RVdiSZIC5EpNYDsToL3CnxUa_6lAfSSZJ0fco5ZHo_3q3hh4qM-c3_tBYvovL34IKJ_96pjGfOa60D4cG7fTNO3te3NwXzeKKwobepl3AVuqB_1dsaS3NXMStPzTDczEhCfx1hWMyk8neRl4gRe_dfuGhQbvS8If8EAGzr4QR7KMIIb4LawBA","2048","ChIJb8Jg9pZYwokR-qHGtvSkLzs","Q2HP+QP New York","87G8Q2HP+QP","3","4.8","ChIJb8Jg9pZYwokR-qHGtvSkLzs","art_gallery","museum","point_of_interest","establishment","OK"
"","","","southwest","40.77755392010728","-73.96407602989272","","","","","","","","","","","","","","","","","","","",""
"1220 5th Ave & 103rd Street, New York, NY 10029, USA","40.792494","-73.951909","northeast","40.79392772989272","-73.95075297010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","d94854c5dd4ca2bcb7ce25e3084ce1dba11d56d1","Museum of the City of New York","","False","3024","<a href=""https://maps.google.com/maps/contrib/113929201690815478929/photos"">Peiwen Lee</a>","CmRaAAAAVlvavMzIor4cwW9-dqasM6Vhm6LBz5hxhaMhIgoXQ0k0lVyBD5t2pmp7Q3B7SpFdaG59F7AU2kETMVczb3M8ir53CbN04HFXKh3TUta63RSQ-21lYSIyvBBwlhLUDG_CEhAmeqrk1bbIefq-YDA5AoiQGhQSkmjhS31cdUDKor1lwznEtOGqug","3024","ChIJi4hYtB32wokR1Npx_Tv7phk","Q2RX+X6 New York","87G8Q2RX+X6","1","4.4","ChIJi4hYtB32wokR1Npx_Tv7phk","museum","point_of_interest","establishment","",""
"","","","southwest","40.79122807010727","-73.95345262989271","","","","","","","","","","","","","","","","","","","",""
"11 W 53rd St, New York, NY 10019, USA","40.7614327","-73.97762159999999","northeast","40.76300062989272","-73.97613242010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","05fd8501e2532c0ea3033bd3f3a282ffff502863","The Museum of Modern Art","","False","1333","<a href=""https://maps.google.com/maps/contrib/118167159210472688737/photos"">Marco Togni</a>","CmRaAAAAyakWJT02Z8h9AMjSfFXA3Lp5VW-Csm0CpzIVnC_FFOgAd07bgbm7CzQmpBS0KSWrUq-NqzvEXVxoQlGYS9aqvo_pxC9QJxlWTEif-tfyujQNrBIxmsm4hZ5IIDtz2gpKEhBxGi2sG2aX4IVDPetJeIC6GhSW_QtioxlSUpMrqhbjEBTGIfgJSA","2000","ChIJKxDbe_lYwokRVf__s8CPn-o","Q26C+HX New York","87G8Q26C+HX","","4.5","ChIJKxDbe_lYwokRVf__s8CPn-o","museum","point_of_interest","establishment","",""
"","","","southwest","40.76030097010727","-73.97883207989273","","","","","","","","","","","","","","","","","","","",""
"235 Bowery, New York, NY 10002, USA","40.7223376","-73.9928905","northeast","40.72373397989272","-73.99167337010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","0c931c5c3800bc979d8a5c41a5ecc1f0e619ebf6","New Museum","","False","3456","<a href=""https://maps.google.com/maps/contrib/107940185863834141395/photos"">Reino Hornson</a>","CmRaAAAA_DLdEA_PqdAAdwh_SoC7Z9x8zlYI9lnb2Vi5HFycYxQLmiNvJIV00X6--8pHHGjSOeVDEWfTde7eSRHqeqIjEN-7ZED8YVvcMHQAA3qc7GJ6bUX8fte4jos_kv2WhQcKEhDt0VwZ3XfY4j-8geHV2_DrGhRtUmISqYK2ck5fDyTkc_wlD_ss5g","4608","ChIJlaRS3IVZwokR2llMD6dCt-U","P2C4+WR New York","87G8P2C4+WR","3","4","ChIJlaRS3IVZwokR2llMD6dCt-U","museum","point_of_interest","establishment","",""
"","","","southwest","40.72103432010728","-73.99437302989273","","","","","","","","","","","","","","","","","","","",""
"Central Park West & 79th St, New York, NY 10024, USA","40.7813241","-73.97398819999999","northeast","40.78267454999999","-73.97198744999999","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","d9dd2c58ebb5c5cb4d00b28db933b7e220a34b5a","American Museum of Natural History","","False","478","<a href=""https://maps.google.com/maps/contrib/117074676945576979744/photos"">Antonio Paez</a>","CmRaAAAAjjggHKCPH9z4ptjks9nxk816QzHJXHU2Pj-9kYgRQrmRwVLYBMavDjA2FDh8o4Hw0dFsltqcWKUUOE68D4kWc8QbIi02hCDRLkGqtLNgXcgMXlZN1MsGPDzmIQ7LzZAEEhBGAEQwQVTuT_vu7aKpzuFiGhRQTrYkIjpR9kOegPVCbzQS3eYcMw","720","ChIJCXoPsPRYwokRsV1MYnKBfaI","Q2JG+GC New York","87G8Q2JG+GC","","4.6","ChIJCXoPsPRYwokRsV1MYnKBfaI","museum","point_of_interest","establishment","",""
"","","","southwest","40.77975195","-73.97557844999999","","","","","","","","","","","","","","","","","","","",""
"170 Central Park West, New York, NY 10024, USA","40.7792476","-73.9742792","northeast","40.78073622989272","-73.97271212010727","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","58fec942ca75a6d83d1b6c6ff242c405c77741bf","New-York Historical Society","","False","854","<a href=""https://maps.google.com/maps/contrib/110668530619096650934/photos"">New-York Historical Society</a>","CmRaAAAAbOESmhVxTn5BIhAeAos8B7NESo_qEI7N8Cp-s_LBtdXCP_8nevYEfZJiT4YVSCA9uwtm2iNFzXcaaH4J_DPhKCfOZeWx1CpAR2bInc8q3A2zHLRmsAbuhCoH88qOsuffEhBHV9vxUnCX02WZsAHnGp4uGhSNRJ9v_llWzXakg75Bv2T5EVBhDA","1280","ChIJIVEyfY5YwokRXqcWLrl5XVA","Q2HG+M7 New York","87G8Q2HG+M7","","4.4","ChIJIVEyfY5YwokRXqcWLrl5XVA","museum","library","point_of_interest","establishment",""
"","","","southwest","40.77803657010728","-73.97541177989272","","","","","","","","","","","","","","","","","","","",""
"1109 5th Ave & E 92nd St, New York, NY 10128, USA","40.785334","-73.957351","northeast","40.78661232989272","-73.95594412010729","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","d0643d0043de24df986abe45f1058ec4f2cca5fb","The Jewish Museum","","False","1536","<a href=""https://maps.google.com/maps/contrib/101457039455828279572/photos"">Maryann Yin</a>","CmRaAAAA8mxg7-WJobFW0l0AeZd6ngDo23bIlqhH6O-S_ciVGXvhl1XeLW40xn2TRZ8pR81BQxvZ9-1XTghXOygwG2-lpjC_QsiAdu1Fl0r-SN5UVMm6rSmkRrRxlOKit4LBd6wVEhBmNYCDZ6uEhBIJPkqd_zQ1GhSc69-MYmKDBoP-hdNdLQ9r6byXYg","2048","ChIJxY5cO6JYwokRPeVk85UNj2g","Q2PV+43 New York","87G8Q2PV+43","2","4.3","ChIJxY5cO6JYwokRPeVk85UNj2g","museum","point_of_interest","establishment","",""
"","","","southwest","40.78391267010728","-73.95864377989272","","","","","","","","","","","","","","","","","","","",""
"1071 5th Ave, New York, NY 10128, USA","40.7829796","-73.9589706","northeast","40.78443592989273","-73.95776212010728","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","aa09742d854b00192daed833e2a56750587e8185","Solomon R. Guggenheim Museum","","False","518","<a href=""https://maps.google.com/maps/contrib/103418875614877587117/photos"">Achilleas T.</a>","CmRaAAAAcU6KIC7QC-EK-Cvz33SNaeCTIj9r0r9brJllQ9X6_CUOn1zX6WpGZByXmifVmuN72dvo-f6HtvvObmwOjMxTK4piX9j1pPbjMJ05njezCsbIy4NwL66MJc_Kh4uWXB9BEhBxju8vPbXT0WImPqHrJxOYGhRvo_hMJX3jfj39kP7bOTJAevXi3Q","778","ChIJmZ5emqJYwokRuDz79o0coAQ","Q2MR+5C New York","87G8Q2MR+5C","","4.3","ChIJmZ5emqJYwokRuDz79o0coAQ","museum","point_of_interest","establishment","",""
"","","","southwest","40.78173627010729","-73.96046177989271","","","","","","","","","","","","","","","","","","","",""
