"results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__price_level","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__types__004","status"
"New York, NY, USA","40.7828647","-73.9653551","northeast","40.81804399999999","-73.9339825","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","c9bcef33f0cc85eda31f1c7444e9b1a3b82c9a9f","Central Park","True","2832","<a href=""https://maps.google.com/maps/contrib/103463335273836161678/photos"">Ashok Rinwa</a>","CmRaAAAAhQsiibOK6sLltZO0cNyg5HjfNoVHTiwc9SuQUKVwNZ4Zb8Vd6lCTIBFIteedjzAxli1LAX0Nu3oIrAMgES0kEvm2pz_6jXEf-PzQvc-lzb2XS_X5-9-7BOi3jWtjdvW4EhDOYtlMcZ7mjWKyuuJPOCN4GhSGyFhv02Kpe4Dcx9mGV_upK1QiPw","4256","ChIJ4zGFAZpYwokRGUGph3Mf37k","Q2MM+4V New York","87G8Q2MM+4V","","4.8","ChIJ4zGFAZpYwokRGUGph3Mf37k","park","point_of_interest","establishment","","OK"
"","","","southwest","40.7473416","-73.99703049999999","","","","","","","","","","","","","","","","","","",""
"New York, NY, USA","40.8012339","-73.9723096","northeast","40.83677995","-73.94689559999999","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","20a7fef51e1c17598e54bbc01afcdac90246caec","Riverside Park","True","1836","<a href=""https://maps.google.com/maps/contrib/104226241403642891153/photos"">Elie DARMON</a>","CmRaAAAAoE8FlQgUJE5h_EwXG3-ohh-8C0oRpvIp4CFtJ_D3PxRAwQ8is9lNqf7Vd_kpLOdWygHJC6CNtjJvFPuDTQu11V_1i0ekIq4svd0FveSmgzeyd7ZUr7ZvMlU_52Les1bYEhByQIoreg2FbtTLwrGkS71EGhTFWlG4V6ES3EnOckfnj5RMG8J4pw","3264","ChIJL1DP2C72wokRh3Lfn4T0Z3w","R22H+F3 New York","87G8R22H+F3","","4.6","ChIJL1DP2C72wokRh3Lfn4T0Z3w","park","point_of_interest","establishment","",""
"","","","southwest","40.76173295","-74.00177000000002","","","","","","","","","","","","","","","","","","",""
"New York, NY 10012, USA","40.7308228","-73.997332","northeast","40.7333674","-73.99379465","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","b0df149329a0f6a4006cc5328e3d42acadaf1b4f","Washington Square Park","True","433","<a href=""https://maps.google.com/maps/contrib/118285160021760966705/photos"">issepe</a>","CmRaAAAAdI9K2xEB-3PAlgj6MZYkqjclTi0scKCSfxJqI5eR4WIDI8q8a6V8pb4NDZOdjaZOcaeSgAfvGEXSl3LRsc6Ao8jIy2vISpM9ZlQOua_ig6Jd9JLFWOKliZW1hDnfOz-cEhA6c7Sn5Qi7AtMa-jt4XMgXGhR0e_kl_PGQY9H88IOvEjelrzWHcA","650","ChIJjX494pBZwokRGH620d9eYfo","P2J3+83 New York","87G8P2J3+83","","4.6","ChIJjX494pBZwokRGH620d9eYfo","park","point_of_interest","establishment","",""
"","","","southwest","40.72847220000001","-74.00132524999999","","","","","","","","","","","","","","","","","","",""
"Payson Ave. &, Seaman Ave, New York, NY 10034, United States","40.8722007","-73.92555489999999","northeast","40.87355052989272","-73.92420507010726","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","eeec542848892712b9623fe25be5598b50ff73ca","Inwood Hill Park","True","1500","<a href=""https://maps.google.com/maps/contrib/111106528780111791393/photos"">A Google User</a>","CmRaAAAA2DB4EQjAwNAgFEpXxckfsojyTst69FY2C-9_NNiqbf65Glwmoj_u-o2SAs4o_57hi6RvXVuqVe70kr0kzXuTDKIoJMXhR76VRdI-w64uHK70opbvLeSTZCasHsJQiPepEhCJ9GCJZ0jPuYIv21OT9e6PGhRfLxynKz0JHF5LMrDkNjBc94-guQ","2250","ChIJpUOPMe7zwokRJUQfPbEU1CI","V3CF+VQ New York","87G8V3CF+VQ","","4.6","ChIJpUOPMe7zwokRJUQfPbEU1CI","park","point_of_interest","establishment","",""
"","","","southwest","40.87085087010728","-73.92690472989271","","","","","","","","","","","","","","","","","","",""
"3 E 53rd St, New York, NY 10022, USA","40.7602157","-73.9751349","northeast","40.76153142989271","-73.97380997010728","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","419df35f8d8721a1551348a9b917a90abf67deea","Paley Park","False","4048","<a href=""https://maps.google.com/maps/contrib/109979007372693871283/photos"">Stephen Matzat</a>","CmRaAAAAwYZzGQg5UpqxP_Is8QXpw3WmFsMBaquDkFj9SbahGYnb2Uu6d-8OEeLloiRebu0cLoC_xK9Ljg9Y2KOT4xzrpsmgQknubR2FmZDOgdIrXleuflR5MDjpgO7vb6Fo0VWPEhDLUjisRg9KNTrZ7bcg8bfwGhRwVsXxcpz8pFjzG9xrHF6v5Wgocg","3036","ChIJcUYGvftYwokRXvGL1B_cN2o","Q26F+3W New York","87G8Q26F+3W","","4.4","ChIJcUYGvftYwokRXvGL1B_cN2o","park","point_of_interest","establishment","",""
"","","","southwest","40.75883177010727","-73.97650962989273","","","","","","","","","","","","","","","","","","",""
