"results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__rating","results__reference","results__types__001","results__types__002","results__types__003","status"
"2300 Southern Blvd, Bronx, NY 10460, USA","40.8505949","-73.8769982","northeast","40.86110289999999","-73.86736774999999","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","3ee4872ae045fe0d1b5d37525e0dd63ba4462540","Bronx Zoo","False","4000","<a href=""https://maps.google.com/maps/contrib/109077120766404962053/photos"">Glauco Malek</a>","CmRaAAAA78ZH3RmIwb3KcEsrvit7hWxM0X3AluS5342HhdjsCBK5ncGqzw_n3V6ztZHlBOf4abOW_dgCjwprTuaLr2NTHgER-xJ2v8FD8kei1cR_XbdrY2OnY9A6coWqPC5RFO9LEhB0lpjqIxAdzpexapl4f6S5GhRJBacvR3AKGLosI1fgTAt_rK3GFA","6000","ChIJi9JqUYP0wokRLhCVlxy0bgU","V42F+66 New York","87G8V42F+66","4.5","ChIJi9JqUYP0wokRLhCVlxy0bgU","zoo","point_of_interest","establishment","OK"
"","","","southwest","40.83834530000001","-73.88760074999999","","","","","","","","","","","","","","","","",""
"E 64th St, New York, NY 10021, USA","40.767778","-73.9718335","northeast","40.76893942989273","-73.96989795","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","f623597bb5e95d518d99e6aa87e7f5056a5f856a","Central Park Zoo","False","480","<a href=""https://maps.google.com/maps/contrib/110701384570467493502/photos"">A Google User</a>","CmRaAAAAJHhCJ_rOKO5qTUJgCLuWB8xHCl643MFeSf8qn1ay3zBHxP3qOM910Y_bXHlcc5x5nDOVyMEt0SV2OtDTT8QgMT8F2pYYUqs7jA8eRe5R47sbR9xrfmZL4SsnCfBfSYI9EhCKpzkkXPXHu0CKSumfsz3_GhSV-MaY43r1l5KvHDt0t4nlXWmFOw","720","ChIJaWjW_PFYwokRFD8a2YQu12U","Q29H+47 New York","87G8Q29H+47","4.3","ChIJaWjW_PFYwokRFD8a2YQu12U","zoo","point_of_interest","establishment",""
"","","","southwest","40.76623977010728","-73.97281374999999","","","","","","","","","","","","","","","","",""
"53-51 111th Street Flushing, Corona, NY 11368, USA","40.7439678","-73.84924579999999","northeast","40.75050919999999","-73.8454016","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","b5c0c7d98482ce21d68d4bd6948a85fda8f756e1","Queens Zoo","False","2340","<a href=""https://maps.google.com/maps/contrib/118416263825892469322/photos"">Eliyas</a>","CmRaAAAAaMiJyIsA3SqnYDwC2pxwNPwUoHDU40eU9mWZPsfib7k149AUjyLALKUaINNdQ3BeFEM-fKSLZtTSoD58iHCrFdk6mn63TEmmWliUmpcHH7R2l_dxDUxIHbDHzgEfFdNaEhDRkeeshjAZeVmr11bIq9bnGhSvYy6PqZSJKolXiXTSMirtNmUDQA","4160","ChIJr4Vyr9BfwokRwIj7AIr7bzE","P5V2+H8 New York","87G8P5V2+H8","4.4","ChIJr4Vyr9BfwokRwIj7AIr7bzE","zoo","point_of_interest","establishment",""
"","","","southwest","40.73684040000001","-73.85513839999999","","","","","","","","","","","","","","","","",""
"450 Flatbush Ave, Brooklyn, NY 11225, USA","40.6653747","-73.96541379999999","northeast","40.66685772989272","-73.96336629999999","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","88c350d1cffb9e7d805886c219b746cb78f926d3","Prospect Park Zoo","False","2988","<a href=""https://maps.google.com/maps/contrib/100089025374774345128/photos"">Andrea Dixon</a>","CmRaAAAAZTf9lOlu3_tQfZo8-33NjjMk_2Z3Iml8o-OxJIHScOjEbzMOKpEGfBaFjSWZ5R9XqO30IJR4lY8Yt9Ylv4LY5viQ1wgS-7Qn2gbm9YwZkMbf1ayWvZCnP6PVbfl1eiffEhC_M4o3JON0gLAlh-eT1IulGhTqGcKHVV_AwDEFAS-p2gwHqI90gw","5312","ChIJnWjS-wRbwokRpCq5RGEIH3E","M28M+4R New York","87G8M28M+4R","4.4","ChIJnWjS-wRbwokRpCq5RGEIH3E","zoo","point_of_interest","establishment",""
"","","","southwest","40.66415807010728","-73.9669347","","","","","","","","","","","","","","","","",""
"602 Surf Ave, Brooklyn, NY 11224, USA","40.5742632","-73.9748754","northeast","40.57560817989272","-73.97412062010727","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","8d6c14b576144c082256cf33bcef201794d5fd78","New York Aquarium","False","2448","<a href=""https://maps.google.com/maps/contrib/112385749461986717978/photos"">Daniel Alexander Catano</a>","CmRaAAAA78iW_ZNqrJFv3e_qITHMTg3bWjsikRUYiJkN4GymKgk7-Dk9CWqEgf-_f4pPxnYoQq-vK_ePFJIpgU0LpvYS0-e1KXjHTaPSXj0CFt1uk7WvBXSMxnsxHd0eD14Kc_nhEhCEnDeBidXziPWnOXIjX0fNGhSY_FWNXMXtcFBN1mXFqfwavkOgvA","3264","ChIJcRMeDzZEwokR3NsXUDpO9UU","H2FG+P2 New York","87G8H2FG+P2","4","ChIJcRMeDzZEwokR3NsXUDpO9UU","aquarium","point_of_interest","establishment",""
"","","","southwest","40.57290852010728","-73.97682027989272","","","","","","","","","","","","","","","","",""
