,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories__alias,categories__title,rating,location__address1,location__city,location__zip_code,location__country,location__state,location__cross_streets,coordinates__latitude,coordinates__longitude,photos__001,photos__002,photos__003,price,hours__open__is_overnight,hours__open__start,hours__open__end,hours__open__day,hours__hours_type,hours__is_open_now
0,UA2M9QFZghe-9th2KwLoWQ,burger-and-lobster-new-york-4,Burger & Lobster,https://s3-media3.fl.yelpcdn.com/bphoto/1rHd7F4zztAsScwzM0vDmw/o.jpg,True,False,https://www.yelp.com/biz/burger-and-lobster-new-york-4?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,16468337532.0,(646) 833-7532,4559.0,seafood,Seafood,4.0,39 W 19th St,New York,10011.0,US,NY,Avenue Of The Americas & 5th Ave,40.74007,-73.99344,https://s3-media3.fl.yelpcdn.com/bphoto/1rHd7F4zztAsScwzM0vDmw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/LLteoVFm9lUAJI0thmMZiA/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/Sk0cMISCf4fZZEHAD34CNA/o.jpg,$$,False,1130.0,2200.0,0.0,REGULAR,True
7,L7_siqDfU4-ZA17YtA-SBg,silver-factory-brooklyn,Silver Factory,https://s3-media2.fl.yelpcdn.com/bphoto/W-yd60oQ7lsw7E9MOssFwQ/o.jpg,True,False,https://www.yelp.com/biz/silver-factory-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,13477253017.0,(347) 725-3017,107.0,korean,Korean,4.5,270 South 5th St,Brooklyn,11211.0,US,NY,Havemeyer St & Marcy Ave,40.709227,-73.958598,https://s3-media2.fl.yelpcdn.com/bphoto/W-yd60oQ7lsw7E9MOssFwQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/rMiStUJayR_xurbjwwBj7g/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/eUq6RYW8R4AcMyZJSfKsig/o.jpg,$$,True,1700.0,100.0,0.0,REGULAR,False
12,ysqgdbSrezXgVwER2kQWKA,julianas-pizza-brooklyn-5,Juliana's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/F91yzENQ2E7Z-4xSDKUdXA/o.jpg,True,False,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17185966700.0,(718) 596-6700,1825.0,pizza,Pizza,4.5,19 Old Fulton St,Brooklyn,11201.0,US,NY,,40.702615303009296,-73.99341599935491,https://s3-media4.fl.yelpcdn.com/bphoto/F91yzENQ2E7Z-4xSDKUdXA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/QzUGCYUBFd1pJp8vtCyHiw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/7JtwTxhWHf3YS70Ss_CfxA/o.jpg,$$,False,1130.0,1515.0,0.0,REGULAR,False
26,VrCCr45dhN-RRM107iptdg,russ-and-daughters-new-york,Russ & Daughters,https://s3-media4.fl.yelpcdn.com/bphoto/VVsTMR57q-_ebqaPKM_Llg/o.jpg,True,False,https://www.yelp.com/biz/russ-and-daughters-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12124754880.0,(212) 475-4880,1846.0,bagels,Bagels,4.5,179 E Houston St,New York,10002.0,US,NY,East Houston St & 2nd Ave,40.722609028877294,-73.9882828294139,https://s3-media4.fl.yelpcdn.com/bphoto/VVsTMR57q-_ebqaPKM_Llg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/ff13dtsx4QxizXrhhYrODQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/WZ_h8ZdoKAhk-x2nYcL8mg/o.jpg,$$,False,800.0,1800.0,0.0,REGULAR,True
33,CwOAKJdX8AMz5iAoA-ZEuA,uglyduckling-brooklyn,Uglyduckling,https://s3-media2.fl.yelpcdn.com/bphoto/t7NqP-IYYWqAcsGdLIJgDg/o.jpg,True,False,https://www.yelp.com/biz/uglyduckling-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17184513825.0,(718) 451-3825,382.0,tradamerican,American (Traditional),4.0,166 Smith St,Brooklyn,11201.0,US,NY,Wyckoff St & Warren St,40.686023,-73.991302,https://s3-media2.fl.yelpcdn.com/bphoto/t7NqP-IYYWqAcsGdLIJgDg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/gVlbsYrlDSDePsYpHNq9aQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/-hrHnOdWPWrnUOMEuCGD9Q/o.jpg,$$,False,1130.0,0.0,0.0,REGULAR,True
40,mXLrVoEi80WZaZ3agBP5Jw,bijans-brooklyn-2,Bijan's,https://s3-media2.fl.yelpcdn.com/bphoto/VJmLtQJ2tXq9qjlhGGMVxg/o.jpg,True,False,https://www.yelp.com/biz/bijans-brooklyn-2?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17188555574.0,(718) 855-5574,431.0,newamerican,American (New),4.0,81 Hoyt St,Brooklyn,11211.0,US,NY,,40.68803,-73.98671,https://s3-media2.fl.yelpcdn.com/bphoto/VJmLtQJ2tXq9qjlhGGMVxg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/hI1fC4NHU_ivL78jXuZwrw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/T7kx9MI3K8lc9ola82vHow/o.jpg,$$,True,1130.0,400.0,0.0,REGULAR,True
47,oOsJn3leUnWDfErRWMf81g,soco-brooklyn,Soco,https://s3-media4.fl.yelpcdn.com/bphoto/nLKKfPQU7t6wiZ0f-pQFDg/o.jpg,True,False,https://www.yelp.com/biz/soco-brooklyn?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,17187831936.0,(718) 783-1936,1866.0,cajun,Cajun/Creole,4.0,509 Myrtle Ave,Brooklyn,11205.0,US,NY,Ryerson St & Grand Ave,40.693866,-73.964535,https://s3-media4.fl.yelpcdn.com/bphoto/nLKKfPQU7t6wiZ0f-pQFDg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/BZoXEdfTeS0Kl_Uhzb-yWA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/ZgD56ZNxKEUJhFX7EBBdSQ/o.jpg,$$,False,1200.0,1530.0,1.0,REGULAR,True
58,u5iwtmfzGCqGYCYOTzQrQA,midwinter-kitchen-new-york,Midwinter Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/qkEm6w4QNmVaTPy9agwyPQ/o.jpg,True,False,https://www.yelp.com/biz/midwinter-kitchen-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,12125058500.0,(212) 505-8500,414.0,newamerican,American (New),4.5,327 2nd Ave,New York,10003.0,US,NY,19th St & 18th St,40.73542,-73.98293000000001,https://s3-media3.fl.yelpcdn.com/bphoto/qkEm6w4QNmVaTPy9agwyPQ/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/-2S6bb0XeP2RT_Y7b-3slQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/xmt7ac02AMKnjqI3nnX7lg/o.jpg,$$,False,1730.0,2200.0,0.0,REGULAR,False
69,3gqKLANaXNsHZnPDjKrcTg,win-son-brooklyn-4,Win Son,https://s3-media3.fl.yelpcdn.com/bphoto/C-EM6eE5mcCU6Ef3w_EgzA/o.jpg,True,False,https://www.yelp.com/biz/win-son-brooklyn-4?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,13474576010.0,(347) 457-6010,307.0,taiwanese,Taiwanese,4.5,159 Graham Ave,Brooklyn,11206.0,US,NY,Meserole St & Johnson Ave,40.70747,-73.94339000000001,https://s3-media3.fl.yelpcdn.com/bphoto/C-EM6eE5mcCU6Ef3w_EgzA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/BVAjgvnMboFfwpJcVUCfLg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/FW0YVs79ejL4Qr-r9mc3yA/o.jpg,$$,False,1730.0,2300.0,1.0,REGULAR,False
77,fVbUVAiLiGgLA_nxBFxyww,thursday-kitchen-new-york,Thursday Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/Rrtsi0d4NZ-RR91UPRn7MQ/o.jpg,True,False,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=NGOVdpY_q4Uy7KDT3aNoEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=NGOVdpY_q4Uy7KDT3aNoEw,,,1001.0,korean,Korean,4.5,424 E 9th St,New York,10009.0,US,NY,East 9th St & Avenue A,40.7275,-73.9838,https://s3-media1.fl.yelpcdn.com/bphoto/Rrtsi0d4NZ-RR91UPRn7MQ/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/tdrCPN0POFhf6BIRvBaeuA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/C1QJdRh6pEOa8hKs0DEU2w/o.jpg,$$,False,1800.0,2300.0,0.0,REGULAR,False
