,From,Forn_name,To,To_name,Distance,Distance_val,duration,duration_val,status
48676,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJe7tPPCMx6IkRWXNsVSqhJXg,CAZZNY Events,23.5 mi,37823,38 mins,2264,OK
48677,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJkZ00vNdFwokR3rqZdENC9Z0,New Yorc City Guggenheim Museum,18.1 mi,29075,46 mins,2740,OK
48678,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJWyAGC8B7wokRVnxMJBl9-qI,Ace Deuce Casinos,38.2 mi,61471,56 mins,3376,OK
48679,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJ0U2AQ75dwokRDYkz9MyoArc,Carib-Inn Tennis Club & Casino,25.6 mi,41199,47 mins,2809,OK
48680,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJy3d0-yNnwokRqjtXbx3Jtvs,Equestris,25.9 mi,41673,47 mins,2833,OK
48681,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJPXAb-rhmwokRA8gRTeZqgWU,Cozy 1br mins from CASINO JFK & NYC,29.0 mi,46612,43 mins,2605,OK
48682,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJBUJLolKRwokRCIrIkXtAmAU,1800 Casinos LLC,24.6 mi,39575,34 mins,2034,OK
48683,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJed2A-haBwokRV7ehRoS-3SQ,Palm Casino's USA,32.1 mi,51651,46 mins,2734,OK
48684,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,2.3 mi,3670,13 mins,804,OK
48685,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJi4hYtB32wokR1Npx_Tv7phk,Museum of the City of New York,3.7 mi,5956,16 mins,982,OK
48686,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJKxDbe_lYwokRVf__s8CPn-o,The Museum of Modern Art,1.4 mi,2256,11 mins,647,OK
48687,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJlaRS3IVZwokR2llMD6dCt-U,New Museum,5.0 mi,8098,29 mins,1725,OK
48688,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History,1.3 mi,2157,9 mins,550,OK
48689,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJIVEyfY5YwokRXqcWLrl5XVA,New-York Historical Society,1.2 mi,1975,9 mins,529,OK
48690,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJxY5cO6JYwokRPeVk85UNj2g,The Jewish Museum,3.2 mi,5154,13 mins,774,OK
48691,ChIJQ9MPHF5YwokRNOs38qSxDM8,Toga Bike Shop,ChIJmZ5emqJYwokRuDz79o0coAQ,Solomon R. Guggenheim Museum,3.4 mi,5407,13 mins,805,OK
